Silhouette report (XLM-R (mlm_wiki))
============================================================
  n_varieties           = 16
  linkage_method        = average
  silhouette (family)   = +0.1132
  silhouette (romance)  = +0.1635

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  catalano              romance              +0.3950
  ladino                italo_romance        +0.3439
  lombardo              italo_romance        +0.2955
  siciliano             italo_romance        +0.2451
  spagnolo              romance              +0.2338
  friulano              italo_romance        +0.2136
  francese              romance              +0.1742
  ligure                italo_romance        +0.1243
  tedesco               germanic             +0.0000
  arabo                 semitic              +0.0000
  greco                 greek                +0.0000
  inglese               english              +0.0000
  sloveno               slavic               +0.0000
  italiano              italian              +0.0000
  sardo                 italo_romance        -0.1031
  veneto                italo_romance        -0.1113
