,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.995275,0.999448,0.997292,0.999157,0.998062,0.999054,0.994531,0.997787,0.997858,0.998655,0.995732,0.997550,0.995791,0.996992,0.998265
siciliano,0.995275,1.000000,0.995645,0.995153,0.996030,0.995410,0.995224,0.993637,0.992548,0.993682,0.994175,0.992268,0.993004,0.992764,0.993938,0.993980
lombardo,0.999448,0.995645,1.000000,0.996522,0.998973,0.998199,0.999404,0.993080,0.996472,0.997087,0.998060,0.994801,0.996496,0.994531,0.995931,0.997129
sardo,0.997292,0.995153,0.996522,1.000000,0.996196,0.996005,0.996220,0.992852,0.996432,0.996257,0.997171,0.994322,0.996092,0.994500,0.995013,0.996289
ligure,0.999157,0.996030,0.998973,0.996196,1.000000,0.997808,0.998475,0.994674,0.996861,0.997387,0.997901,0.995369,0.996610,0.995730,0.996718,0.997457
friulano,0.998062,0.995410,0.998199,0.996005,0.997808,1.000000,0.998602,0.992223,0.995249,0.997109,0.996843,0.994394,0.996121,0.993694,0.995844,0.996627
ladino,0.999054,0.995224,0.999404,0.996220,0.998475,0.998602,1.000000,0.991312,0.995391,0.996336,0.996924,0.993648,0.995890,0.993229,0.995499,0.996692
italiano,0.994531,0.993637,0.993080,0.992852,0.994674,0.992223,0.991312,1.000000,0.997230,0.996891,0.996594,0.996492,0.996403,0.997431,0.996174,0.996400
spagnolo,0.997787,0.992548,0.996472,0.996432,0.996861,0.995249,0.995391,0.997230,1.000000,0.998971,0.999224,0.997753,0.998822,0.998165,0.997769,0.998587
francese,0.997858,0.993682,0.997087,0.996257,0.997387,0.997109,0.996336,0.996891,0.998971,1.000000,0.999144,0.997876,0.998859,0.997827,0.997768,0.998503
catalano,0.998655,0.994175,0.998060,0.997171,0.997901,0.996843,0.996924,0.996594,0.999224,0.999144,1.000000,0.997625,0.998651,0.997600,0.997621,0.998470
tedesco,0.995732,0.992268,0.994801,0.994322,0.995369,0.994394,0.993648,0.996492,0.997753,0.997876,0.997625,1.000000,0.998154,0.997850,0.997595,0.997287
inglese,0.997550,0.993004,0.996496,0.996092,0.996610,0.996121,0.995890,0.996403,0.998822,0.998859,0.998651,0.998154,1.000000,0.998003,0.997999,0.998704
greco,0.995791,0.992764,0.994531,0.994500,0.995730,0.993694,0.993229,0.997431,0.998165,0.997827,0.997600,0.997850,0.998003,1.000000,0.998069,0.997729
arabo,0.996992,0.993938,0.995931,0.995013,0.996718,0.995844,0.995499,0.996174,0.997769,0.997768,0.997621,0.997595,0.997999,0.998069,1.000000,0.998043
sloveno,0.998265,0.993980,0.997129,0.996289,0.997457,0.996627,0.996692,0.996400,0.998587,0.998503,0.998470,0.997287,0.998704,0.997729,0.998043,1.000000
