,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.004725,0.000552,0.002708,0.000843,0.001938,0.000946,0.005469,0.002213,0.002142,0.001345,0.004268,0.002450,0.004209,0.003008,0.001735
siciliano,0.004725,0.000000,0.004355,0.004847,0.003970,0.004590,0.004776,0.006363,0.007452,0.006318,0.005825,0.007732,0.006996,0.007236,0.006062,0.006020
lombardo,0.000552,0.004355,0.000000,0.003478,0.001027,0.001801,0.000596,0.006920,0.003528,0.002913,0.001940,0.005199,0.003504,0.005469,0.004069,0.002871
sardo,0.002708,0.004847,0.003478,0.000000,0.003804,0.003995,0.003780,0.007148,0.003568,0.003743,0.002829,0.005678,0.003908,0.005500,0.004987,0.003711
ligure,0.000843,0.003970,0.001027,0.003804,0.000000,0.002192,0.001525,0.005326,0.003139,0.002613,0.002099,0.004631,0.003390,0.004270,0.003282,0.002543
friulano,0.001938,0.004590,0.001801,0.003995,0.002192,0.000000,0.001398,0.007777,0.004751,0.002891,0.003157,0.005606,0.003879,0.006306,0.004156,0.003373
ladino,0.000946,0.004776,0.000596,0.003780,0.001525,0.001398,0.000000,0.008688,0.004609,0.003664,0.003076,0.006352,0.004110,0.006771,0.004501,0.003308
italiano,0.005469,0.006363,0.006920,0.007148,0.005326,0.007777,0.008688,0.000000,0.002770,0.003109,0.003406,0.003508,0.003597,0.002569,0.003826,0.003600
spagnolo,0.002213,0.007452,0.003528,0.003568,0.003139,0.004751,0.004609,0.002770,0.000000,0.001029,0.000776,0.002247,0.001178,0.001835,0.002231,0.001413
francese,0.002142,0.006318,0.002913,0.003743,0.002613,0.002891,0.003664,0.003109,0.001029,0.000000,0.000856,0.002124,0.001141,0.002173,0.002232,0.001497
catalano,0.001345,0.005825,0.001940,0.002829,0.002099,0.003157,0.003076,0.003406,0.000776,0.000856,0.000000,0.002375,0.001349,0.002400,0.002379,0.001530
tedesco,0.004268,0.007732,0.005199,0.005678,0.004631,0.005606,0.006352,0.003508,0.002247,0.002124,0.002375,0.000000,0.001846,0.002150,0.002405,0.002713
inglese,0.002450,0.006996,0.003504,0.003908,0.003390,0.003879,0.004110,0.003597,0.001178,0.001141,0.001349,0.001846,0.000000,0.001997,0.002001,0.001296
greco,0.004209,0.007236,0.005469,0.005500,0.004270,0.006306,0.006771,0.002569,0.001835,0.002173,0.002400,0.002150,0.001997,0.000000,0.001931,0.002271
arabo,0.003008,0.006062,0.004069,0.004987,0.003282,0.004156,0.004501,0.003826,0.002231,0.002232,0.002379,0.002405,0.002001,0.001931,0.000000,0.001957
sloveno,0.001735,0.006020,0.002871,0.003711,0.002543,0.003373,0.003308,0.003600,0.001413,0.001497,0.001530,0.002713,0.001296,0.002271,0.001957,0.000000
