,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.792462,0.848448,0.753910,0.655871,0.823264,0.815068,0.794741,0.816028,0.816698,0.478130,0.339821,0.608347
lij,0.792462,1.000000,0.823073,0.756050,0.754140,0.882521,0.886641,0.779783,0.700808,0.745603,0.443830,0.387513,0.599377
lmo,0.848448,0.823073,1.000000,0.766978,0.697617,0.861208,0.823787,0.844326,0.788550,0.868133,0.500633,0.390737,0.610939
sc,0.753910,0.756050,0.766978,1.000000,0.693074,0.768061,0.780505,0.822705,0.714473,0.753072,0.453567,0.366324,0.598025
scn,0.655871,0.754140,0.697617,0.693074,1.000000,0.731033,0.779370,0.597135,0.524896,0.586635,0.301864,0.370423,0.447364
vec,0.823264,0.882521,0.861208,0.768061,0.731033,1.000000,0.893113,0.821824,0.725142,0.785172,0.445881,0.455500,0.566199
ita,0.815068,0.886641,0.823787,0.780505,0.779370,0.893113,1.000000,0.777353,0.705052,0.741642,0.425204,0.376253,0.580977
spa,0.794741,0.779783,0.844326,0.822705,0.597135,0.821824,0.777353,1.000000,0.787499,0.894866,0.490684,0.383633,0.586316
fra,0.816028,0.700808,0.788550,0.714473,0.524896,0.725142,0.705052,0.787499,1.000000,0.827932,0.532134,0.325062,0.641850
cat,0.816698,0.745603,0.868133,0.753072,0.586635,0.785172,0.741642,0.894866,0.827932,1.000000,0.460289,0.328589,0.582482
deu,0.478130,0.443830,0.500633,0.453567,0.301864,0.445881,0.425204,0.490684,0.532134,0.460289,1.000000,0.283492,0.495260
slv,0.339821,0.387513,0.390737,0.366324,0.370423,0.455500,0.376253,0.383633,0.325062,0.328589,0.283492,1.000000,0.224505
eng,0.608347,0.599377,0.610939,0.598025,0.447364,0.566199,0.580977,0.586316,0.641850,0.582482,0.495260,0.224505,1.000000
