,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.996074,0.998662,0.997245,0.998525,0.998281,0.998832,0.997380,0.998069,0.998102,0.998437,0.997374,0.997914,0.997613,0.998008,0.998247
siciliano,0.996074,1.000000,0.996743,0.995873,0.996309,0.995648,0.995713,0.996378,0.993909,0.994658,0.995171,0.993898,0.993753,0.994838,0.994862,0.994628
lombardo,0.998662,0.996743,1.000000,0.996802,0.998070,0.998500,0.999128,0.995830,0.996321,0.996789,0.997545,0.996105,0.996206,0.995908,0.996356,0.996483
sardo,0.997245,0.995873,0.996802,1.000000,0.996288,0.996769,0.997026,0.995524,0.996443,0.996080,0.996722,0.995675,0.995985,0.996122,0.996063,0.996088
ligure,0.998525,0.996309,0.998070,0.996288,1.000000,0.997613,0.997728,0.996512,0.996278,0.996793,0.996973,0.995861,0.995949,0.996469,0.996557,0.996429
friulano,0.998281,0.995648,0.998500,0.996769,0.997613,1.000000,0.999024,0.995885,0.996656,0.997649,0.997500,0.996616,0.997099,0.996299,0.996930,0.997230
ladino,0.998832,0.995713,0.999128,0.997026,0.997728,0.999024,1.000000,0.995215,0.996541,0.996977,0.997356,0.996185,0.996830,0.995785,0.996783,0.997026
italiano,0.997380,0.996378,0.995830,0.995524,0.996512,0.995885,0.995215,1.000000,0.998653,0.998829,0.998835,0.998055,0.998181,0.998740,0.998106,0.998524
spagnolo,0.998069,0.993909,0.996321,0.996443,0.996278,0.996656,0.996541,0.998653,1.000000,0.999460,0.999594,0.998884,0.999385,0.998985,0.998700,0.999177
francese,0.998102,0.994658,0.996789,0.996080,0.996793,0.997649,0.996977,0.998829,0.999460,1.000000,0.999667,0.998935,0.999366,0.998896,0.998585,0.999156
catalano,0.998437,0.995171,0.997545,0.996722,0.996973,0.997500,0.997356,0.998835,0.999594,0.999667,1.000000,0.998930,0.999301,0.998951,0.998649,0.999134
tedesco,0.997374,0.993898,0.996105,0.995675,0.995861,0.996616,0.996185,0.998055,0.998884,0.998935,0.998930,1.000000,0.999106,0.998783,0.998646,0.998721
inglese,0.997914,0.993753,0.996206,0.995985,0.995949,0.997099,0.996830,0.998181,0.999385,0.999366,0.999301,0.999106,1.000000,0.998818,0.998754,0.999314
greco,0.997613,0.994838,0.995908,0.996122,0.996469,0.996299,0.995785,0.998740,0.998985,0.998896,0.998951,0.998783,0.998818,1.000000,0.998994,0.998812
arabo,0.998008,0.994862,0.996356,0.996063,0.996557,0.996930,0.996783,0.998106,0.998700,0.998585,0.998649,0.998646,0.998754,0.998994,1.000000,0.998799
sloveno,0.998247,0.994628,0.996483,0.996088,0.996429,0.997230,0.997026,0.998524,0.999177,0.999156,0.999134,0.998721,0.999314,0.998812,0.998799,1.000000
