# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.103709,family_labels
davies_bouldin,0.907049,family_labels
calinski_harabasz,2.003611,family_labels
cophenetic_correlation,0.876473,hierarchical
adjusted_rand_index,0.153488,hierarchical_cut
normalized_mutual_info,0.638960,hierarchical_cut
v_measure,0.638960,hierarchical_cut
adjusted_rand_index,0.451807,kmeans
normalized_mutual_info,0.772162,kmeans
v_measure,0.772162,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fra,romance,0.524488
cat,romance,0.365593
spa,romance,0.176602
ita,italian,0.000000
slv,slavic,0.000000
eng,english,0.000000
deu,germanic,0.000000
scn,italo_romance,-0.017559
sc,italo_romance,-0.296724
fur,italo_romance,-0.378287
lmo,italo_romance,-0.379117
lij,italo_romance,-0.615322
vec,italo_romance,-0.727897
