,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.995312,0.997291,0.992854,0.988788,0.996310,0.996339,0.993350,0.990970,0.996009,0.986794,0.988042,0.989797
lij,0.995312,1.000000,0.996186,0.990745,0.981128,0.998294,0.997051,0.995643,0.989867,0.994677,0.985924,0.989462,0.991054
lmo,0.997291,0.996186,1.000000,0.990098,0.985060,0.997755,0.995826,0.994093,0.990421,0.996589,0.987810,0.987806,0.990037
sc,0.992854,0.990745,0.990098,1.000000,0.982668,0.990533,0.989781,0.993061,0.991041,0.993490,0.981941,0.979820,0.986648
scn,0.988788,0.981128,0.985060,0.982668,1.000000,0.979306,0.983682,0.974038,0.970503,0.977835,0.969025,0.973303,0.972327
vec,0.996310,0.998294,0.997755,0.990533,0.979306,1.000000,0.997943,0.997283,0.991685,0.997333,0.986923,0.990385,0.991640
ita,0.996339,0.997051,0.995826,0.989781,0.983682,0.997943,1.000000,0.995771,0.991149,0.995740,0.984553,0.987853,0.990697
spa,0.993350,0.995643,0.994093,0.993061,0.974038,0.997283,0.995771,1.000000,0.995011,0.998024,0.985433,0.986725,0.990979
fra,0.990970,0.989867,0.990421,0.991041,0.970503,0.991685,0.991149,0.995011,1.000000,0.996571,0.990399,0.979190,0.990842
cat,0.996009,0.994677,0.996589,0.993490,0.977835,0.997333,0.995740,0.998024,0.996571,1.000000,0.988043,0.986040,0.992168
deu,0.986794,0.985924,0.987810,0.981941,0.969025,0.986923,0.984553,0.985433,0.990399,0.988043,1.000000,0.982336,0.991885
slv,0.988042,0.989462,0.987806,0.979820,0.973303,0.990385,0.987853,0.986725,0.979190,0.986040,0.982336,1.000000,0.986333
eng,0.989797,0.991054,0.990037,0.986648,0.972327,0.991640,0.990697,0.990979,0.990842,0.992168,0.991885,0.986333,1.000000
