Silhouette report (SentenceTransformer (baseline))
============================================================
  n_varieties           = 16
  linkage_method        = average
  silhouette (family)   = +0.2764
  silhouette (romance)  = +0.2520

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  lombardo              italo_romance        +0.8028
  ladino                italo_romance        +0.7927
  ligure                italo_romance        +0.7754
  sardo                 italo_romance        +0.7661
  friulano              italo_romance        +0.7342
  siciliano             italo_romance        +0.7161
  veneto                italo_romance        +0.5198
  sloveno               slavic               +0.0000
  inglese               english              +0.0000
  greco                 greek                +0.0000
  arabo                 semitic              +0.0000
  tedesco               germanic             +0.0000
  italiano              italian              +0.0000
  catalano              romance              -0.0202
  francese              romance              -0.2770
  spagnolo              romance              -0.3878
