variety,italian,spanish,catalan,french,german,english
veneto,0.0,0.0,0.0,0.0,0.11392350666093683,0.0
siciliano,0.0,0.0,0.0,0.0,0.11456371625863151,0.0
lombardo,0.0,0.0,0.0,0.0,0.12536689169357207,0.0
sardo,0.0,0.0,0.0,0.0,0.05903248251364119,0.0
ligure,0.0,0.0,0.0,0.0,0.11500539494735275,0.0
friulano,0.0,0.0,0.0,0.0,0.09079931442817077,0.0
ladino,0.0,0.0,0.0,0.0,0.09690321558688421,0.0
italiano,0.0,0.0,0.0,0.0,0.016086986348357,0.0
spagnolo,0.0,0.0,0.0,0.0,0.060139753331551415,0.0
francese,0.0,0.0,0.0,0.0,0.0939870417193426,0.0
catalano,0.0,0.0,0.0,0.0,0.05423874419149518,0.0
tedesco,0.0,0.0,0.0,0.0,0.006507459021425502,0.0
inglese,0.0,0.0,0.0,0.0,0.001382946540472795,0.0
greco,0.0,0.0,0.0,0.0,0.7872567126012218,3.794346423828495e-05
arabo,0.0,0.0,0.0,0.0,0.8067226890756303,0.0004577497024626934
sloveno,0.0,0.0,0.0,0.0,0.04761145226892097,0.0
