,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.561890,0.499465,0.525354,0.563659,0.509594,0.497926,0.567232,0.585693,0.546207,0.715929,0.731381,0.618951
lij,0.561890,0.000000,0.458520,0.504921,0.498963,0.447125,0.484862,0.571943,0.590207,0.582333,0.727092,0.749778,0.632446
lmo,0.499465,0.458520,0.000000,0.470814,0.480988,0.425404,0.421793,0.514234,0.531621,0.533365,0.655580,0.694652,0.564652
sc,0.525354,0.504921,0.470814,0.000000,0.465901,0.479493,0.448368,0.493094,0.548500,0.516780,0.680409,0.720958,0.567706
scn,0.563659,0.498963,0.480988,0.465901,0.000000,0.533584,0.458310,0.570402,0.590545,0.590603,0.715313,0.741730,0.603318
vec,0.509594,0.447125,0.425404,0.479493,0.533584,0.000000,0.409126,0.484366,0.534939,0.530080,0.668078,0.685727,0.551207
ita,0.497926,0.484862,0.421793,0.448368,0.458310,0.409126,0.000000,0.420705,0.441532,0.503685,0.594395,0.661722,0.440852
spa,0.567232,0.571943,0.514234,0.493094,0.570402,0.484366,0.420705,0.000000,0.464428,0.445447,0.627745,0.682774,0.463919
fra,0.585693,0.590207,0.531621,0.548500,0.590545,0.534939,0.441532,0.464428,0.000000,0.510434,0.592766,0.691910,0.442178
cat,0.546207,0.582333,0.533365,0.516780,0.590603,0.530080,0.503685,0.445447,0.510434,0.000000,0.685246,0.722410,0.551974
deu,0.715929,0.727092,0.655580,0.680409,0.715313,0.668078,0.594395,0.627745,0.592766,0.685246,0.000000,0.746489,0.588087
slv,0.731381,0.749778,0.694652,0.720958,0.741730,0.685727,0.661722,0.682774,0.691910,0.722410,0.746489,0.000000,0.702125
eng,0.618951,0.632446,0.564652,0.567706,0.603318,0.551207,0.440852,0.463919,0.442178,0.551974,0.588087,0.702125,0.000000
