Silhouette report (TF-IDF char (Wiki))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.0482
  silhouette (romance)  = +0.1434

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.0511
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  lij                   italo_romance        -0.0191
  fur                   italo_romance        -0.0640
  spa                   romance              -0.0752
  sc                    italo_romance        -0.0836
  fra                   romance              -0.0942
  lmo                   italo_romance        -0.0969
  scn                   italo_romance        -0.0989
  vec                   italo_romance        -0.1459
