,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.036295,0.060727,0.052607,0.052609,0.052183,0.054043,0.066156,0.060629,0.057666,0.066286,0.052775,0.088133,0.082697,0.082700,0.085782,0.121031
lij,0.036295,0.000000,0.035039,0.038716,0.059206,0.026814,0.043361,0.052615,0.054372,0.054908,0.047619,0.037941,0.089138,0.074235,0.084215,0.092193,0.106521
lmo,0.060727,0.035039,0.000000,0.044662,0.050129,0.033529,0.072835,0.086023,0.076665,0.079630,0.098908,0.052400,0.109817,0.106540,0.115875,0.125562,0.114419
sc,0.052607,0.038716,0.044662,0.000000,0.058680,0.036700,0.051801,0.046577,0.042828,0.049053,0.050178,0.028049,0.067917,0.065446,0.095174,0.092648,0.105463
scn,0.052609,0.059206,0.050129,0.058680,0.000000,0.072610,0.072851,0.106319,0.101499,0.096446,0.114646,0.081039,0.122594,0.120733,0.119259,0.111470,0.148410
vec,0.052183,0.026814,0.033529,0.036700,0.072610,0.000000,0.041349,0.048416,0.050896,0.048995,0.054373,0.035968,0.076479,0.065567,0.079099,0.085888,0.104523
ita,0.054043,0.043361,0.072835,0.051801,0.072851,0.041349,0.000000,0.023786,0.037424,0.023682,0.035751,0.026398,0.056027,0.041787,0.057862,0.061348,0.109198
spa,0.066156,0.052615,0.086023,0.046577,0.106319,0.048416,0.023786,0.000000,0.022130,0.012293,0.014822,0.016817,0.052770,0.038207,0.064278,0.066122,0.083582
fra,0.060629,0.054372,0.076665,0.042828,0.101499,0.050896,0.037424,0.022130,0.000000,0.016362,0.035670,0.021308,0.042000,0.036700,0.084645,0.083848,0.092576
cat,0.057666,0.054908,0.079630,0.049053,0.096446,0.048995,0.023682,0.012293,0.016362,0.000000,0.025066,0.010390,0.049935,0.035618,0.069603,0.070914,0.087267
por,0.066286,0.047619,0.098908,0.050178,0.114646,0.054373,0.035751,0.014822,0.035670,0.025066,0.000000,0.025090,0.065092,0.046386,0.071115,0.069119,0.091034
oci,0.052775,0.037941,0.052400,0.028049,0.081039,0.035968,0.026398,0.016817,0.021308,0.010390,0.025090,0.000000,0.058995,0.044347,0.073357,0.077413,0.085986
deu,0.088133,0.089138,0.109817,0.067917,0.122594,0.076479,0.056027,0.052770,0.042000,0.049935,0.065092,0.058995,0.000000,0.027938,0.081678,0.080540,0.104532
eng,0.082697,0.074235,0.106540,0.065446,0.120733,0.065567,0.041787,0.038207,0.036700,0.035618,0.046386,0.044347,0.027938,0.000000,0.075386,0.076834,0.103669
slv,0.082700,0.084215,0.115875,0.095174,0.119259,0.079099,0.057862,0.064278,0.084645,0.069603,0.071115,0.073357,0.081678,0.075386,0.000000,0.008065,0.090652
hrv,0.085782,0.092193,0.125562,0.092648,0.111470,0.085888,0.061348,0.066122,0.083848,0.070914,0.069119,0.077413,0.080540,0.076834,0.008065,0.000000,0.100697
hun,0.121031,0.106521,0.114419,0.105463,0.148410,0.104523,0.109198,0.083582,0.092576,0.087267,0.091034,0.085986,0.104532,0.103669,0.090652,0.100697,0.000000
