,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.963705,0.939273,0.947393,0.947391,0.947817,0.945957,0.933844,0.939371,0.942334,0.933714,0.947225,0.911867,0.917303,0.917300,0.914218,0.878969
lij,0.963705,1.000000,0.964961,0.961284,0.940794,0.973186,0.956639,0.947385,0.945628,0.945092,0.952381,0.962059,0.910862,0.925765,0.915785,0.907807,0.893479
lmo,0.939273,0.964961,1.000000,0.955338,0.949871,0.966471,0.927165,0.913977,0.923335,0.920370,0.901092,0.947600,0.890183,0.893460,0.884125,0.874438,0.885581
sc,0.947393,0.961284,0.955338,1.000000,0.941320,0.963300,0.948199,0.953423,0.957172,0.950947,0.949822,0.971951,0.932083,0.934554,0.904826,0.907352,0.894537
scn,0.947391,0.940794,0.949871,0.941320,1.000000,0.927390,0.927149,0.893681,0.898501,0.903554,0.885354,0.918961,0.877406,0.879267,0.880741,0.888530,0.851590
vec,0.947817,0.973186,0.966471,0.963300,0.927390,1.000000,0.958651,0.951584,0.949104,0.951005,0.945627,0.964032,0.923521,0.934433,0.920901,0.914112,0.895477
ita,0.945957,0.956639,0.927165,0.948199,0.927149,0.958651,1.000000,0.976214,0.962576,0.976318,0.964249,0.973602,0.943973,0.958213,0.942138,0.938652,0.890802
spa,0.933844,0.947385,0.913977,0.953423,0.893681,0.951584,0.976214,1.000000,0.977870,0.987707,0.985178,0.983183,0.947230,0.961793,0.935722,0.933878,0.916418
fra,0.939371,0.945628,0.923335,0.957172,0.898501,0.949104,0.962576,0.977870,1.000000,0.983638,0.964330,0.978692,0.958000,0.963300,0.915355,0.916152,0.907424
cat,0.942334,0.945092,0.920370,0.950947,0.903554,0.951005,0.976318,0.987707,0.983638,1.000000,0.974934,0.989610,0.950065,0.964382,0.930397,0.929086,0.912733
por,0.933714,0.952381,0.901092,0.949822,0.885354,0.945627,0.964249,0.985178,0.964330,0.974934,1.000000,0.974910,0.934908,0.953614,0.928885,0.930881,0.908966
oci,0.947225,0.962059,0.947600,0.971951,0.918961,0.964032,0.973602,0.983183,0.978692,0.989610,0.974910,1.000000,0.941005,0.955653,0.926643,0.922587,0.914014
deu,0.911867,0.910862,0.890183,0.932083,0.877406,0.923521,0.943973,0.947230,0.958000,0.950065,0.934908,0.941005,1.000000,0.972062,0.918322,0.919460,0.895468
eng,0.917303,0.925765,0.893460,0.934554,0.879267,0.934433,0.958213,0.961793,0.963300,0.964382,0.953614,0.955653,0.972062,1.000000,0.924614,0.923166,0.896331
slv,0.917300,0.915785,0.884125,0.904826,0.880741,0.920901,0.942138,0.935722,0.915355,0.930397,0.928885,0.926643,0.918322,0.924614,1.000000,0.991935,0.909348
hrv,0.914218,0.907807,0.874438,0.907352,0.888530,0.914112,0.938652,0.933878,0.916152,0.929086,0.930881,0.922587,0.919460,0.923166,0.991935,1.000000,0.899303
hun,0.878969,0.893479,0.885581,0.894537,0.851590,0.895477,0.890802,0.916418,0.907424,0.912733,0.908966,0.914014,0.895468,0.896331,0.909348,0.899303,1.000000
