Silhouette report (FastText (FLORES centroid))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.0846
  silhouette (romance)  = +0.4544

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.4728
  fra                   romance              +0.3535
  spa                   romance              +0.2855
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  sc                    italo_romance        -0.1717
  fur                   italo_romance        -0.2608
  lmo                   italo_romance        -0.2682
  scn                   italo_romance        -0.3049
  vec                   italo_romance        -0.5796
  lij                   italo_romance        -0.6270
