,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.858032,0.926519,0.808473,0.707024,0.891215,0.880435,0.852790,0.874146,0.869707,0.509724,0.358024,0.648839
lij,0.858032,1.000000,0.892631,0.809206,0.812155,0.943524,0.948935,0.834478,0.747776,0.791393,0.469701,0.409777,0.637336
lmo,0.926519,0.892631,1.000000,0.828872,0.752828,0.932863,0.892481,0.917088,0.854729,0.935623,0.537513,0.420439,0.655606
sc,0.808473,0.809206,0.828872,1.000000,0.738618,0.823531,0.835786,0.862115,0.749814,0.787622,0.473344,0.383461,0.628711
scn,0.707024,0.812155,0.752828,0.738618,1.000000,0.781072,0.832016,0.634765,0.554947,0.618224,0.313056,0.392983,0.470640
vec,0.891215,0.943524,0.932863,0.823531,0.781072,1.000000,0.947210,0.882206,0.779028,0.836876,0.474105,0.487715,0.601723
ita,0.880435,0.948935,0.892481,0.835786,0.832016,0.947210,1.000000,0.829254,0.752716,0.785186,0.448520,0.393637,0.616909
spa,0.852790,0.834478,0.917088,0.862115,0.634765,0.882206,0.829254,1.000000,0.825799,0.932088,0.514007,0.399621,0.612484
fra,0.874146,0.747776,0.854729,0.749814,0.554947,0.779028,0.752716,0.825799,1.000000,0.863964,0.557082,0.335292,0.667624
cat,0.869707,0.791393,0.935623,0.787622,0.618224,0.836876,0.785186,0.932088,0.863964,1.000000,0.479539,0.337915,0.603568
deu,0.509724,0.469701,0.537513,0.473344,0.313056,0.474105,0.448520,0.514007,0.557082,0.479539,1.000000,0.290519,0.511482
slv,0.358024,0.409777,0.420439,0.383461,0.392983,0.487715,0.393637,0.399621,0.335292,0.337915,0.290519,1.000000,0.222233
eng,0.648839,0.637336,0.655606,0.628711,0.470640,0.601723,0.616909,0.612484,0.667624,0.603568,0.511482,0.222233,1.000000
