# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.084641,family_labels
davies_bouldin,0.915068,family_labels
calinski_harabasz,3.555130,family_labels
cophenetic_correlation,0.960118,hierarchical
adjusted_rand_index,0.274419,hierarchical_cut
normalized_mutual_info,0.671868,hierarchical_cut
v_measure,0.671868,hierarchical_cut
adjusted_rand_index,0.248555,kmeans
normalized_mutual_info,0.700823,kmeans
v_measure,0.700823,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.472799
fra,romance,0.353475
spa,romance,0.285491
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
sc,italo_romance,-0.171722
fur,italo_romance,-0.260795
lmo,italo_romance,-0.268184
scn,italo_romance,-0.304878
vec,italo_romance,-0.579559
lij,italo_romance,-0.626962
