,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.141968,0.073481,0.191527,0.292976,0.108785,0.119565,0.147210,0.125854,0.130293,0.490276,0.641976,0.351161
lij,0.141968,0.000000,0.107369,0.190794,0.187845,0.056476,0.051065,0.165522,0.252224,0.208607,0.530299,0.590223,0.362664
lmo,0.073481,0.107369,0.000000,0.171128,0.247172,0.067137,0.107519,0.082912,0.145271,0.064377,0.462487,0.579561,0.344394
sc,0.191527,0.190794,0.171128,0.000000,0.261382,0.176469,0.164214,0.137885,0.250186,0.212378,0.526656,0.616539,0.371289
scn,0.292976,0.187845,0.247172,0.261382,0.000000,0.218928,0.167984,0.365235,0.445053,0.381776,0.686944,0.607017,0.529360
vec,0.108785,0.056476,0.067137,0.176469,0.218928,0.000000,0.052790,0.117794,0.220972,0.163124,0.525895,0.512285,0.398277
ita,0.119565,0.051065,0.107519,0.164214,0.167984,0.052790,0.000000,0.170746,0.247284,0.214814,0.551480,0.606363,0.383091
spa,0.147210,0.165522,0.082912,0.137885,0.365235,0.117794,0.170746,0.000000,0.174201,0.067912,0.485993,0.600379,0.387516
fra,0.125854,0.252224,0.145271,0.250186,0.445053,0.220972,0.247284,0.174201,0.000000,0.136036,0.442918,0.664708,0.332376
cat,0.130293,0.208607,0.064377,0.212378,0.381776,0.163124,0.214814,0.067912,0.136036,0.000000,0.520461,0.662085,0.396432
deu,0.490276,0.530299,0.462487,0.526656,0.686944,0.525895,0.551480,0.485993,0.442918,0.520461,0.000000,0.709481,0.488518
slv,0.641976,0.590223,0.579561,0.616539,0.607017,0.512285,0.606363,0.600379,0.664708,0.662085,0.709481,0.000000,0.777767
eng,0.351161,0.362664,0.344394,0.371289,0.529360,0.398277,0.383091,0.387516,0.332376,0.396432,0.488518,0.777767,0.000000
