Silhouette report (CANINE adapted (FLORES centroid, dialects-native))
============================================================
  n_varieties           = 20
  linkage_method        = average
  silhouette (family)            = -0.0778
  silhouette (romance vs rest)   = +0.6079
  silhouette (romance, no dial.) = +0.6196

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  slv                   slavic               +0.9278
  hrv                   slavic               +0.9206
  oci                   romance              +0.1948
  fra                   romance              +0.1846
  cat                   romance              +0.0775
  sqi                   albanian             +0.0000
  hun                   uralic               +0.0000
  eng                   english              +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  ron                   romance              -0.0680
  scn                   italo_romance        -0.1466
  por                   romance              -0.2911
  glg                   romance              -0.3459
  lmo                   italo_romance        -0.3479
  sc                    italo_romance        -0.3876
  spa                   romance              -0.4290
  fur                   italo_romance        -0.5380
  lij                   italo_romance        -0.5710
  vec                   italo_romance        -0.7362
