,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,0.000000,0.043429,0.040217,0.058244,0.081898,0.052050,0.026688,0.034843,0.019506,0.020286,0.033463,0.013798,0.020686,0.035831,0.107810,0.064179,0.087881,0.078055,0.079136,0.159316
lij,0.043429,0.000000,0.066262,0.068502,0.096740,0.051849,0.028040,0.045396,0.043686,0.050297,0.022106,0.032304,0.050332,0.022437,0.150813,0.103377,0.113218,0.102324,0.112926,0.185596
lmo,0.040217,0.066262,0.000000,0.050419,0.071672,0.043227,0.037642,0.036306,0.030459,0.015082,0.052979,0.049534,0.014268,0.049509,0.125481,0.095958,0.120367,0.109429,0.104028,0.147349
sc,0.058244,0.068502,0.050419,0.000000,0.057736,0.047708,0.037130,0.020806,0.039188,0.035721,0.029488,0.062419,0.029069,0.025607,0.132523,0.086970,0.141882,0.125091,0.131817,0.193344
scn,0.081898,0.096740,0.071672,0.057736,0.000000,0.097652,0.069244,0.080184,0.090440,0.078629,0.086080,0.084485,0.068490,0.081752,0.198394,0.153470,0.181533,0.157213,0.162661,0.243882
vec,0.052050,0.051849,0.043227,0.047708,0.097652,0.000000,0.015433,0.016409,0.035094,0.031215,0.028054,0.051530,0.035644,0.023978,0.147305,0.082975,0.111799,0.102627,0.129924,0.182640
ita,0.026688,0.028040,0.037642,0.037130,0.069244,0.015433,0.000000,0.009915,0.021207,0.018266,0.013353,0.026827,0.021154,0.012238,0.126718,0.065519,0.099380,0.089506,0.113197,0.176571
spa,0.034843,0.045396,0.036306,0.020806,0.080184,0.016409,0.009915,0.000000,0.016884,0.013662,0.011282,0.038236,0.015504,0.008620,0.117894,0.060272,0.105302,0.095558,0.116112,0.172695
fra,0.019506,0.043686,0.030459,0.039188,0.090440,0.035094,0.021207,0.016884,0.000000,0.008302,0.023015,0.022071,0.010775,0.022706,0.086271,0.051999,0.091672,0.083488,0.077317,0.138550
cat,0.020286,0.050297,0.015082,0.035721,0.078629,0.031215,0.018266,0.013662,0.008302,0.000000,0.024857,0.027239,0.002525,0.024520,0.100793,0.059199,0.096605,0.087817,0.090973,0.145705
por,0.033463,0.022106,0.052979,0.029488,0.086080,0.028054,0.013353,0.011282,0.023015,0.024857,0.000000,0.028201,0.023976,0.001692,0.122326,0.066349,0.095760,0.085189,0.104085,0.171773
ron,0.013798,0.032304,0.049534,0.062419,0.084485,0.051530,0.026827,0.038236,0.022071,0.027239,0.028201,0.000000,0.025828,0.031136,0.098983,0.067412,0.065486,0.054799,0.062821,0.134434
oci,0.020686,0.050332,0.014268,0.029069,0.068490,0.035644,0.021154,0.015504,0.010775,0.002525,0.023976,0.025828,0.000000,0.023593,0.100243,0.061954,0.093848,0.083678,0.084945,0.140835
glg,0.035831,0.022437,0.049509,0.025607,0.081752,0.023978,0.012238,0.008620,0.022706,0.024520,0.001692,0.031136,0.023593,0.000000,0.126202,0.069287,0.101817,0.090840,0.109565,0.175250
deu,0.107810,0.150813,0.125481,0.132523,0.198394,0.147305,0.126718,0.117894,0.086271,0.100793,0.122326,0.098983,0.100243,0.126202,0.000000,0.044339,0.068355,0.071425,0.064806,0.063006
eng,0.064179,0.103377,0.095958,0.086970,0.153470,0.082975,0.065519,0.060272,0.051999,0.059199,0.066349,0.067412,0.061954,0.069287,0.044339,0.000000,0.064265,0.064887,0.078372,0.107195
slv,0.087881,0.113218,0.120367,0.141882,0.181533,0.111799,0.099380,0.105302,0.091672,0.096605,0.095760,0.065486,0.093848,0.101817,0.068355,0.064265,0.000000,0.002904,0.040206,0.054306
hrv,0.078055,0.102324,0.109429,0.125091,0.157213,0.102627,0.089506,0.095558,0.083488,0.087817,0.085189,0.054799,0.083678,0.090840,0.071425,0.064887,0.002904,0.000000,0.036565,0.061701
sqi,0.079136,0.112926,0.104028,0.131817,0.162661,0.129924,0.113197,0.116112,0.077317,0.090973,0.104085,0.062821,0.084945,0.109565,0.064806,0.078372,0.040206,0.036565,0.000000,0.058447
hun,0.159316,0.185596,0.147349,0.193344,0.243882,0.182640,0.176571,0.172695,0.138550,0.145705,0.171773,0.134434,0.140835,0.175250,0.063006,0.107195,0.054306,0.061701,0.058447,0.000000
