Silhouette report (canine (FLORES, native + 13 var, no-iso))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)            = -0.1235
  silhouette (romance vs rest)   = +0.2170
  silhouette (romance, no dial.) = +0.1680

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.0116
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  fur                   italo_romance        -0.0443
  spa                   romance              -0.0500
  fra                   romance              -0.0879
  scn                   italo_romance        -0.1536
  lij                   italo_romance        -0.2023
  sc                    italo_romance        -0.3075
  lmo                   italo_romance        -0.3093
  vec                   italo_romance        -0.4627
