# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.051531,family_labels
davies_bouldin,0.987281,family_labels
calinski_harabasz,0.950622,family_labels
cophenetic_correlation,0.897517,hierarchical
adjusted_rand_index,-0.086957,hierarchical_cut
normalized_mutual_info,0.524489,hierarchical_cut
v_measure,0.524489,hierarchical_cut
adjusted_rand_index,-0.031746,kmeans
normalized_mutual_info,0.567836,kmeans
v_measure,0.567836,kmeans

# Per-variety silhouette scores
variety,family,silhouette
catalano,romance,0.454498
spagnolo,romance,0.212378
francese,romance,0.206471
italiano,italian,0.000000
tedesco,germanic,0.000000
arabo,semitic,0.000000
greco,greek,0.000000
inglese,english,0.000000
sloveno,slavic,0.000000
lombardo,italo_romance,-0.082309
ligure,italo_romance,-0.163334
siciliano,italo_romance,-0.177337
friulano,italo_romance,-0.192706
ladino,italo_romance,-0.222919
sardo,italo_romance,-0.335798
veneto,italo_romance,-0.523430
