dialect_code,dialect_name,rank,language_code,language_name,cosine_similarity
veneto,Venetian,1,greco,Greek,0.6995829343795776
veneto,Venetian,2,tedesco,German,0.6897521615028381
veneto,Venetian,3,francese,French,0.6836469769477844
veneto,Venetian,4,sloveno,Slovenian,0.6772434711456299
veneto,Venetian,5,arabo,Arabic,0.6770692467689514
veneto,Venetian,6,catalano,Catalan,0.675227701663971
veneto,Venetian,7,italiano,Italian,0.6744480133056641
veneto,Venetian,8,spagnolo,Spanish,0.6740345358848572
veneto,Venetian,9,inglese,English,0.6459275484085083
siciliano,Sicilian,1,greco,Greek,0.6797832250595093
siciliano,Sicilian,2,tedesco,German,0.6740869879722595
siciliano,Sicilian,3,catalano,Catalan,0.6720533967018127
siciliano,Sicilian,4,sloveno,Slovenian,0.6710879802703857
siciliano,Sicilian,5,francese,French,0.6709251403808594
siciliano,Sicilian,6,arabo,Arabic,0.6662545800209045
siciliano,Sicilian,7,italiano,Italian,0.6578240394592285
siciliano,Sicilian,8,spagnolo,Spanish,0.654376745223999
siciliano,Sicilian,9,inglese,English,0.6295493841171265
lombardo,Lombard,1,greco,Greek,0.6622196435928345
lombardo,Lombard,2,tedesco,German,0.6554360389709473
lombardo,Lombard,3,francese,French,0.6524941325187683
lombardo,Lombard,4,catalano,Catalan,0.6505635976791382
lombardo,Lombard,5,sloveno,Slovenian,0.6491843461990356
lombardo,Lombard,6,arabo,Arabic,0.6431317329406738
lombardo,Lombard,7,italiano,Italian,0.6400423049926758
lombardo,Lombard,8,spagnolo,Spanish,0.6342936158180237
lombardo,Lombard,9,inglese,English,0.5999812483787537
sardo,Sardinian,1,greco,Greek,0.6616703271865845
sardo,Sardinian,2,tedesco,German,0.6556390523910522
sardo,Sardinian,3,francese,French,0.6502532958984375
sardo,Sardinian,4,sloveno,Slovenian,0.6502373218536377
sardo,Sardinian,5,catalano,Catalan,0.6469367742538452
sardo,Sardinian,6,arabo,Arabic,0.6450611352920532
sardo,Sardinian,7,italiano,Italian,0.6414201855659485
sardo,Sardinian,8,spagnolo,Spanish,0.6408966779708862
sardo,Sardinian,9,inglese,English,0.6014065742492676
ligure,Ligurian,1,greco,Greek,0.7282639741897583
ligure,Ligurian,2,tedesco,German,0.7205013632774353
ligure,Ligurian,3,francese,French,0.7149088382720947
ligure,Ligurian,4,catalano,Catalan,0.7148975729942322
ligure,Ligurian,5,sloveno,Slovenian,0.7142066955566406
ligure,Ligurian,6,arabo,Arabic,0.7100125551223755
ligure,Ligurian,7,italiano,Italian,0.7063763737678528
ligure,Ligurian,8,spagnolo,Spanish,0.7019146680831909
ligure,Ligurian,9,inglese,English,0.6700159311294556
friulano,Friulian,1,greco,Greek,0.7160271406173706
friulano,Friulian,2,tedesco,German,0.7119356393814087
friulano,Friulian,3,catalano,Catalan,0.7097076773643494
friulano,Friulian,4,sloveno,Slovenian,0.7074170112609863
friulano,Friulian,5,francese,French,0.7060658931732178
friulano,Friulian,6,arabo,Arabic,0.700548529624939
friulano,Friulian,7,italiano,Italian,0.697354793548584
friulano,Friulian,8,spagnolo,Spanish,0.6945051550865173
friulano,Friulian,9,inglese,English,0.6618503332138062
ladino,Ladin,1,greco,Greek,0.5803551077842712
ladino,Ladin,2,tedesco,German,0.5750797986984253
ladino,Ladin,3,francese,French,0.5643300414085388
ladino,Ladin,4,catalano,Catalan,0.561028003692627
ladino,Ladin,5,arabo,Arabic,0.5600229501724243
ladino,Ladin,6,sloveno,Slovenian,0.559964656829834
ladino,Ladin,7,italiano,Italian,0.555051326751709
ladino,Ladin,8,spagnolo,Spanish,0.547804057598114
ladino,Ladin,9,inglese,English,0.5157614946365356
