# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.156790,family_labels
davies_bouldin,1.322433,family_labels
calinski_harabasz,1.096059,family_labels
cophenetic_correlation,0.793272,hierarchical
adjusted_rand_index,0.000000,hierarchical_cut
normalized_mutual_info,0.513783,hierarchical_cut
v_measure,0.513783,hierarchical_cut
adjusted_rand_index,-0.006734,kmeans
normalized_mutual_info,0.540440,kmeans
v_measure,0.540440,kmeans

# Per-variety silhouette scores
variety,family,silhouette
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
cat,romance,-0.067918
sc,italo_romance,-0.085146
lmo,italo_romance,-0.111072
fur,italo_romance,-0.177883
spa,romance,-0.265186
scn,italo_romance,-0.272189
lij,italo_romance,-0.344523
fra,romance,-0.349419
vec,italo_romance,-0.364928
