,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.462810,0.467088,0.473501,0.441811,0.494857,0.460284,0.424111,0.439095,0.452664,0.372672,0.313712,0.424003
lij,0.462810,1.000000,0.482904,0.520307,0.468186,0.570887,0.544295,0.469654,0.438386,0.472151,0.405422,0.342071,0.478068
lmo,0.467088,0.482904,1.000000,0.461805,0.453357,0.516926,0.471347,0.422703,0.401721,0.453992,0.378150,0.311498,0.430742
sc,0.473501,0.520307,0.461805,1.000000,0.483519,0.543076,0.512181,0.504605,0.449751,0.494075,0.418309,0.349072,0.490725
scn,0.441811,0.468186,0.453357,0.483519,1.000000,0.503704,0.493943,0.419814,0.401881,0.429488,0.378863,0.317463,0.427110
vec,0.494857,0.570887,0.516926,0.543076,0.503704,1.000000,0.621845,0.540073,0.477872,0.526160,0.447184,0.384984,0.544593
ita,0.460284,0.544295,0.471347,0.512181,0.493943,0.621845,1.000000,0.557503,0.491915,0.531212,0.460869,0.383540,0.561912
spa,0.424111,0.469654,0.422703,0.504605,0.419814,0.540073,0.557503,1.000000,0.493308,0.574869,0.439879,0.371268,0.542276
fra,0.439095,0.438386,0.401721,0.449751,0.401881,0.477872,0.491915,0.493308,1.000000,0.501996,0.463595,0.357050,0.536056
cat,0.452664,0.472151,0.453992,0.494075,0.429488,0.526160,0.531212,0.574869,0.501996,1.000000,0.428641,0.359311,0.519431
deu,0.372672,0.405422,0.378150,0.418309,0.378863,0.447184,0.460869,0.439879,0.463595,0.428641,1.000000,0.374840,0.541077
slv,0.313712,0.342071,0.311498,0.349072,0.317463,0.384984,0.383540,0.371268,0.357050,0.359311,0.374840,1.000000,0.392147
eng,0.424003,0.478068,0.430742,0.490725,0.427110,0.544593,0.561912,0.542276,0.536056,0.519431,0.541077,0.392147,1.000000
