,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,0.0000,0.7208,0.5839,0.6222,0.9187,0.9157,0.9357,0.5811,0.4200,0.6019,0.5036,0.5313,0.3940
fra,0.7208,0.0000,0.6974,0.6587,0.9467,0.9699,0.9510,0.7105,0.7519,0.8013,0.7663,0.7730,0.7168
spa,0.5839,0.6974,0.0000,0.4940,0.9537,0.9397,0.9391,0.6868,0.6624,0.7604,0.6852,0.7083,0.5861
cat,0.6222,0.6587,0.4940,0.0000,0.9352,0.9346,0.9359,0.6626,0.6909,0.7146,0.6951,0.6975,0.6209
deu,0.9187,0.9467,0.9537,0.9352,0.0000,0.9550,0.7834,0.9343,0.9289,0.9262,0.9287,0.9366,0.9265
slv,0.9157,0.9699,0.9397,0.9346,0.9550,0.0000,0.9621,0.9430,0.9241,0.9507,0.9379,0.9106,0.9134
eng,0.9357,0.9510,0.9391,0.9359,0.7834,0.9621,0.0000,0.9382,0.9313,0.9423,0.9381,0.9419,0.9430
fur,0.5811,0.7105,0.6868,0.6626,0.9343,0.9430,0.9382,0.0000,0.5692,0.5745,0.6889,0.6820,0.5643
lij,0.4200,0.7519,0.6624,0.6909,0.9289,0.9241,0.9313,0.5692,0.0000,0.5773,0.6228,0.6223,0.4489
lmo,0.6019,0.8013,0.7604,0.7146,0.9262,0.9507,0.9423,0.5745,0.5773,0.0000,0.7080,0.6932,0.5450
sc,0.5036,0.7663,0.6852,0.6951,0.9287,0.9379,0.9381,0.6889,0.6228,0.7080,0.0000,0.5642,0.6005
scn,0.5313,0.7730,0.7083,0.6975,0.9366,0.9106,0.9419,0.6820,0.6223,0.6932,0.5642,0.0000,0.5696
vec,0.3940,0.7168,0.5861,0.6209,0.9265,0.9134,0.9430,0.5643,0.4489,0.5450,0.6005,0.5696,0.0000
