,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,—,"0.721 [0.688,0.756]","0.584 [0.545,0.630]","0.622 [0.584,0.660]","0.919 [0.892,0.948]","0.916 [0.889,0.945]","0.936 [0.910,0.963]","0.581 [0.546,0.620]","0.420 [0.379,0.465]","0.602 [0.563,0.644]","0.504 [0.460,0.548]","0.531 [0.491,0.573]","0.394 [0.348,0.443]"
fra,"0.721 [0.688,0.756]",—,"0.697 [0.660,0.732]","0.659 [0.619,0.702]","0.947 [0.919,0.974]","0.970 [0.947,0.992]","0.951 [0.926,0.977]","0.711 [0.674,0.749]","0.752 [0.720,0.787]","0.801 [0.767,0.834]","0.766 [0.735,0.800]","0.773 [0.743,0.803]","0.717 [0.682,0.754]"
spa,"0.584 [0.545,0.630]","0.697 [0.660,0.732]",—,"0.494 [0.449,0.537]","0.954 [0.933,0.975]","0.940 [0.917,0.965]","0.939 [0.912,0.966]","0.687 [0.646,0.728]","0.662 [0.624,0.700]","0.760 [0.728,0.797]","0.685 [0.648,0.723]","0.708 [0.675,0.744]","0.586 [0.544,0.634]"
cat,"0.622 [0.584,0.660]","0.659 [0.619,0.702]","0.494 [0.449,0.537]",—,"0.935 [0.909,0.960]","0.935 [0.911,0.960]","0.936 [0.910,0.962]","0.663 [0.622,0.702]","0.691 [0.659,0.726]","0.715 [0.679,0.751]","0.695 [0.657,0.737]","0.697 [0.666,0.733]","0.621 [0.580,0.664]"
deu,"0.919 [0.892,0.948]","0.947 [0.919,0.974]","0.954 [0.933,0.975]","0.935 [0.909,0.960]",—,"0.955 [0.933,0.977]","0.783 [0.741,0.823]","0.934 [0.908,0.959]","0.929 [0.905,0.954]","0.926 [0.899,0.950]","0.929 [0.905,0.954]","0.937 [0.912,0.963]","0.926 [0.900,0.951]"
slv,"0.916 [0.889,0.945]","0.970 [0.947,0.992]","0.940 [0.917,0.965]","0.935 [0.911,0.960]","0.955 [0.933,0.977]",—,"0.962 [0.941,0.984]","0.943 [0.918,0.969]","0.924 [0.897,0.951]","0.951 [0.926,0.973]","0.938 [0.912,0.964]","0.911 [0.886,0.936]","0.913 [0.884,0.942]"
eng,"0.936 [0.910,0.963]","0.951 [0.926,0.977]","0.939 [0.912,0.966]","0.936 [0.910,0.962]","0.783 [0.741,0.823]","0.962 [0.941,0.984]",—,"0.938 [0.912,0.965]","0.931 [0.903,0.957]","0.942 [0.917,0.968]","0.938 [0.912,0.964]","0.942 [0.917,0.965]","0.943 [0.917,0.969]"
fur,"0.581 [0.546,0.620]","0.711 [0.674,0.749]","0.687 [0.646,0.728]","0.663 [0.622,0.702]","0.934 [0.908,0.959]","0.943 [0.918,0.969]","0.938 [0.912,0.965]",—,"0.569 [0.530,0.610]","0.575 [0.531,0.619]","0.689 [0.656,0.723]","0.682 [0.646,0.718]","0.564 [0.524,0.611]"
lij,"0.420 [0.379,0.465]","0.752 [0.720,0.787]","0.662 [0.624,0.700]","0.691 [0.659,0.726]","0.929 [0.905,0.954]","0.924 [0.897,0.951]","0.931 [0.903,0.957]","0.569 [0.530,0.610]",—,"0.577 [0.533,0.620]","0.623 [0.588,0.661]","0.622 [0.587,0.662]","0.449 [0.407,0.497]"
lmo,"0.602 [0.563,0.644]","0.801 [0.767,0.834]","0.760 [0.728,0.797]","0.715 [0.679,0.751]","0.926 [0.899,0.950]","0.951 [0.926,0.973]","0.942 [0.917,0.968]","0.575 [0.531,0.619]","0.577 [0.533,0.620]",—,"0.708 [0.674,0.746]","0.693 [0.655,0.731]","0.545 [0.499,0.590]"
sc,"0.504 [0.460,0.548]","0.766 [0.735,0.800]","0.685 [0.648,0.723]","0.695 [0.657,0.737]","0.929 [0.905,0.954]","0.938 [0.912,0.964]","0.938 [0.912,0.964]","0.689 [0.656,0.723]","0.623 [0.588,0.661]","0.708 [0.674,0.746]",—,"0.564 [0.524,0.611]","0.601 [0.560,0.645]"
scn,"0.531 [0.491,0.573]","0.773 [0.743,0.803]","0.708 [0.675,0.744]","0.697 [0.666,0.733]","0.937 [0.912,0.963]","0.911 [0.886,0.936]","0.942 [0.917,0.965]","0.682 [0.646,0.718]","0.622 [0.587,0.662]","0.693 [0.655,0.731]","0.564 [0.524,0.611]",—,"0.570 [0.533,0.609]"
vec,"0.394 [0.348,0.443]","0.717 [0.682,0.754]","0.586 [0.544,0.634]","0.621 [0.580,0.664]","0.926 [0.900,0.951]","0.913 [0.884,0.942]","0.943 [0.917,0.969]","0.564 [0.524,0.611]","0.449 [0.407,0.497]","0.545 [0.499,0.590]","0.601 [0.560,0.645]","0.570 [0.533,0.609]",—
