,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,,0.6633,0.5418,0.5837,0.8445,0.8364,0.8532,0.5439,0.4022,0.5740,0.4723,0.5042,0.3787
fra,0.6633,,0.6463,0.6216,0.8685,0.8943,0.8732,0.6726,0.7089,0.7611,0.7048,0.7337,0.6692
spa,0.5418,0.6463,,0.4696,0.8773,0.8598,0.8668,0.6471,0.6146,0.7162,0.6353,0.6646,0.5470
cat,0.5837,0.6216,0.4696,,0.8690,0.8643,0.8705,0.6259,0.6509,0.6778,0.6525,0.6596,0.5858
deu,0.8445,0.8685,0.8773,0.8690,,0.8850,0.7371,0.8614,0.8654,0.8669,0.8547,0.8797,0.8545
slv,0.8364,0.8943,0.8598,0.8643,0.8850,,0.8841,0.8621,0.8452,0.8793,0.8629,0.8349,0.8378
eng,0.8532,0.8732,0.8668,0.8705,0.7371,0.8841,,0.8661,0.8630,0.8832,0.8612,0.8722,0.8679
fur,0.5439,0.6726,0.6471,0.6259,0.8614,0.8621,0.8661,,0.5396,0.5491,0.6389,0.6326,0.5403
lij,0.4022,0.7089,0.6146,0.6509,0.8654,0.8452,0.8630,0.5396,,0.5516,0.5833,0.5874,0.4337
lmo,0.5740,0.7611,0.7162,0.6778,0.8669,0.8793,0.8832,0.5491,0.5516,,0.6635,0.6430,0.5254
sc,0.4723,0.7048,0.6353,0.6525,0.8547,0.8629,0.8612,0.6389,0.5833,0.6635,,0.5272,0.5649
scn,0.5042,0.7337,0.6646,0.6596,0.8797,0.8349,0.8722,0.6326,0.5874,0.6430,0.5272,,0.5372
vec,0.3787,0.6692,0.5470,0.5858,0.8545,0.8378,0.8679,0.5403,0.4337,0.5254,0.5649,0.5372,
