,fur,lij,lmo,vec,scn,sc,ita,spa,cat,por,fra,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.825617,0.881342,0.853917,0.724862,0.734923,0.803141,0.741256,0.794216,0.692656,0.762281,0.767051,0.552669,0.641632,0.570255,0.574433,0.599870
lij,0.825617,1.000000,0.869330,0.905372,0.787325,0.758522,0.854708,0.799051,0.773309,0.776946,0.726885,0.774111,0.584767,0.631321,0.633169,0.637874,0.633884
lmo,0.881342,0.869330,1.000000,0.897811,0.778324,0.778398,0.809437,0.827608,0.877244,0.763555,0.789929,0.870089,0.570874,0.650660,0.617647,0.609839,0.609868
vec,0.853917,0.905372,0.897811,1.000000,0.788838,0.751141,0.906678,0.796202,0.781455,0.777176,0.714845,0.753841,0.576151,0.634191,0.658585,0.639512,0.573480
scn,0.724862,0.787325,0.778324,0.788838,1.000000,0.724744,0.804428,0.668433,0.684926,0.657327,0.634752,0.658568,0.510296,0.571008,0.557398,0.552608,0.516020
sc,0.734923,0.758522,0.778398,0.751141,0.724744,1.000000,0.718425,0.757230,0.726529,0.727184,0.672149,0.717585,0.519717,0.579161,0.577129,0.586368,0.545062
ita,0.803141,0.854708,0.809437,0.906678,0.804428,0.718425,1.000000,0.714898,0.694017,0.701578,0.667108,0.669540,0.528239,0.598501,0.541072,0.527284,0.514297
spa,0.741256,0.799051,0.827608,0.796202,0.668433,0.757230,0.714898,1.000000,0.866383,0.869258,0.746027,0.864365,0.502882,0.594342,0.540966,0.537462,0.560646
cat,0.794216,0.773309,0.877244,0.781455,0.684926,0.726529,0.694017,0.866383,1.000000,0.767461,0.777384,0.919657,0.506343,0.609044,0.513610,0.517963,0.555436
por,0.692656,0.776946,0.763555,0.777176,0.657327,0.727184,0.701578,0.869258,0.767461,1.000000,0.630521,0.737618,0.506365,0.605797,0.540223,0.535851,0.553439
fra,0.762281,0.726885,0.789929,0.714845,0.634752,0.672149,0.667108,0.746027,0.777384,0.630521,1.000000,0.783422,0.510018,0.615587,0.499109,0.487422,0.501330
oci,0.767051,0.774111,0.870089,0.753841,0.658568,0.717585,0.669540,0.864365,0.919657,0.737618,0.783422,1.000000,0.435347,0.534946,0.467004,0.447058,0.491847
deu,0.552669,0.584767,0.570874,0.576151,0.510296,0.519717,0.528239,0.502882,0.506343,0.506365,0.510018,0.435347,1.000000,0.568987,0.449792,0.422018,0.454502
eng,0.641632,0.631321,0.650660,0.634191,0.571008,0.579161,0.598501,0.594342,0.609044,0.605797,0.615587,0.534946,0.568987,1.000000,0.516712,0.496192,0.505922
slv,0.570255,0.633169,0.617647,0.658585,0.557398,0.577129,0.541072,0.540966,0.513610,0.540223,0.499109,0.467004,0.449792,0.516712,1.000000,0.809887,0.432976
hrv,0.574433,0.637874,0.609839,0.639512,0.552608,0.586368,0.527284,0.537462,0.517963,0.535851,0.487422,0.447058,0.422018,0.496192,0.809887,1.000000,0.412092
hun,0.599870,0.633884,0.609868,0.573480,0.516020,0.545062,0.514297,0.560646,0.555436,0.553439,0.501330,0.491847,0.454502,0.505922,0.432976,0.412092,1.000000
