variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.981207,romance,romance
vec,ita,0.981017,italo_romance,italian
fra,cat,0.976575,romance,romance
lmo,cat,0.975667,italo_romance,romance
ita,spa,0.975229,italian,romance
vec,spa,0.975197,italo_romance,romance
ita,cat,0.973550,italian,romance
lij,ita,0.973270,italo_romance,italian
lij,vec,0.970576,italo_romance,italo_romance
spa,fra,0.970289,romance,romance
vec,cat,0.970027,italo_romance,romance
lmo,ita,0.969744,italo_romance,italian
lmo,spa,0.965163,italo_romance,romance
lmo,vec,0.964716,italo_romance,italo_romance
fur,cat,0.963969,italo_romance,romance
fur,fra,0.963743,italo_romance,romance
lmo,fra,0.962627,italo_romance,romance
ita,fra,0.961912,italian,romance
sc,spa,0.961776,italo_romance,romance
fur,lmo,0.960335,italo_romance,italo_romance
lij,spa,0.959995,italo_romance,romance
sc,cat,0.957295,italo_romance,romance
vec,fra,0.957103,italo_romance,romance
fur,ita,0.956352,italo_romance,italian
fur,spa,0.955754,italo_romance,romance
lij,cat,0.955669,italo_romance,romance
sc,ita,0.954986,italo_romance,italian
lmo,sc,0.954690,italo_romance,italo_romance
lij,lmo,0.954613,italo_romance,italo_romance
fra,eng,0.953599,romance,english
sc,fra,0.952250,italo_romance,romance
deu,eng,0.951588,germanic,english
fur,vec,0.950068,italo_romance,italo_romance
sc,vec,0.947029,italo_romance,italo_romance
cat,eng,0.945456,romance,english
fur,sc,0.942205,italo_romance,italo_romance
scn,ita,0.942104,italo_romance,italian
spa,eng,0.941111,romance,english
lij,sc,0.940024,italo_romance,italo_romance
deu,slv,0.939753,germanic,slavic
lij,fra,0.939675,italo_romance,romance
lmo,scn,0.936507,italo_romance,italo_romance
slv,eng,0.936241,slavic,english
sc,scn,0.935715,italo_romance,italo_romance
ita,eng,0.933507,italian,english
lmo,eng,0.931742,italo_romance,english
fur,eng,0.931275,italo_romance,english
vec,eng,0.928999,italo_romance,english
fur,lij,0.928978,italo_romance,italo_romance
scn,cat,0.927551,italo_romance,romance
fur,scn,0.926777,italo_romance,italo_romance
sc,eng,0.925884,italo_romance,english
lij,scn,0.923577,italo_romance,italo_romance
fra,deu,0.923156,romance,germanic
scn,spa,0.919887,italo_romance,romance
fra,slv,0.919639,romance,slavic
scn,vec,0.917837,italo_romance,italo_romance
cat,slv,0.914459,romance,slavic
scn,fra,0.912544,italo_romance,romance
spa,slv,0.911996,romance,slavic
fur,slv,0.911081,italo_romance,slavic
lij,eng,0.910901,italo_romance,english
vec,slv,0.906649,italo_romance,slavic
cat,deu,0.904502,romance,germanic
ita,slv,0.902854,italian,slavic
lmo,slv,0.900414,italo_romance,slavic
lmo,deu,0.894806,italo_romance,germanic
spa,deu,0.893692,romance,germanic
fur,deu,0.891553,italo_romance,germanic
scn,eng,0.888187,italo_romance,english
sc,slv,0.886279,italo_romance,slavic
sc,deu,0.881903,italo_romance,germanic
ita,deu,0.881814,italian,germanic
vec,deu,0.879333,italo_romance,germanic
lij,slv,0.878407,italo_romance,slavic
scn,slv,0.861422,italo_romance,slavic
lij,deu,0.856609,italo_romance,germanic
scn,deu,0.838827,italo_romance,germanic
