,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.051949,0.021422,0.038142,0.054564,0.032737,0.026253,0.024796,0.018205,0.017555,0.084730,0.062376,0.046463
lij,0.051949,0.000000,0.027425,0.039546,0.058609,0.013914,0.011248,0.020085,0.041061,0.025441,0.120307,0.095077,0.066425
lmo,0.021422,0.027425,0.000000,0.024931,0.045114,0.018825,0.014114,0.014604,0.017367,0.005756,0.080563,0.071827,0.044814
sc,0.038142,0.039546,0.024931,0.000000,0.045216,0.033670,0.026255,0.019313,0.028817,0.023339,0.094890,0.087509,0.051523
scn,0.054564,0.058609,0.045114,0.045216,0.000000,0.065832,0.042786,0.060248,0.068423,0.053310,0.137914,0.112114,0.089533
vec,0.032737,0.013914,0.018825,0.033670,0.065832,0.000000,0.006286,0.006466,0.024270,0.012365,0.097428,0.067056,0.049099
ita,0.026253,0.011248,0.014114,0.026255,0.042786,0.006286,0.000000,0.007118,0.020151,0.009549,0.094169,0.069933,0.044052
spa,0.024796,0.020085,0.014604,0.019313,0.060248,0.006466,0.007118,0.000000,0.012990,0.006072,0.081891,0.060726,0.037241
fra,0.018205,0.041061,0.017367,0.028817,0.068423,0.024270,0.020151,0.012990,0.000000,0.007785,0.054728,0.054576,0.026715
cat,0.017555,0.025441,0.005756,0.023339,0.053310,0.012365,0.009549,0.006072,0.007785,0.000000,0.071979,0.058766,0.033831
deu,0.084730,0.120307,0.080563,0.094890,0.137914,0.097428,0.094169,0.081891,0.054728,0.071979,0.000000,0.037031,0.026791
slv,0.062376,0.095077,0.071827,0.087509,0.112114,0.067056,0.069933,0.060726,0.054576,0.058766,0.037031,0.000000,0.036886
eng,0.046463,0.066425,0.044814,0.051523,0.089533,0.049099,0.044052,0.037241,0.026715,0.033831,0.026791,0.036886,0.000000
