Silhouette report (canine (OLDI, norm + 6 dial, no-iso))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)            = -0.1996
  silhouette (romance vs rest)   = +0.5876
  silhouette (romance, no dial.) = +0.6156

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  fra                   romance              +0.4845
  cat                   romance              +0.2744
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  scn                   italo_romance        -0.2057
  spa                   romance              -0.2532
  sc                    italo_romance        -0.3437
  fur                   italo_romance        -0.4924
  lmo                   italo_romance        -0.5434
  lij                   italo_romance        -0.7062
  vec                   italo_romance        -0.8095
