# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.199627,family_labels
davies_bouldin,1.197661,family_labels
calinski_harabasz,2.207688,family_labels
cophenetic_correlation,0.815830,hierarchical
adjusted_rand_index,0.061856,hierarchical_cut
normalized_mutual_info,0.578295,hierarchical_cut
v_measure,0.578295,hierarchical_cut
adjusted_rand_index,0.138554,kmeans
normalized_mutual_info,0.633230,kmeans
v_measure,0.633230,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fra,romance,0.484531
cat,romance,0.274417
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
scn,italo_romance,-0.205705
spa,romance,-0.253156
sc,italo_romance,-0.343733
fur,italo_romance,-0.492357
lmo,italo_romance,-0.543432
lij,italo_romance,-0.706240
vec,italo_romance,-0.809479
