,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.948051,0.978578,0.961858,0.945436,0.967263,0.973747,0.975204,0.981795,0.982445,0.915270,0.937624,0.953537
lij,0.948051,1.000000,0.972575,0.960454,0.941391,0.986086,0.988752,0.979915,0.958939,0.974559,0.879693,0.904923,0.933575
lmo,0.978578,0.972575,1.000000,0.975069,0.954886,0.981175,0.985886,0.985396,0.982633,0.994244,0.919437,0.928173,0.955186
sc,0.961858,0.960454,0.975069,1.000000,0.954784,0.966330,0.973745,0.980687,0.971183,0.976661,0.905110,0.912491,0.948477
scn,0.945436,0.941391,0.954886,0.954784,1.000000,0.934168,0.957214,0.939752,0.931577,0.946690,0.862086,0.887886,0.910467
vec,0.967263,0.986086,0.981175,0.966330,0.934168,1.000000,0.993714,0.993534,0.975730,0.987635,0.902572,0.932944,0.950901
ita,0.973747,0.988752,0.985886,0.973745,0.957214,0.993714,1.000000,0.992882,0.979849,0.990451,0.905831,0.930067,0.955948
spa,0.975204,0.979915,0.985396,0.980687,0.939752,0.993534,0.992882,1.000000,0.987010,0.993928,0.918109,0.939274,0.962759
fra,0.981795,0.958939,0.982633,0.971183,0.931577,0.975730,0.979849,0.987010,1.000000,0.992215,0.945272,0.945424,0.973285
cat,0.982445,0.974559,0.994244,0.976661,0.946690,0.987635,0.990451,0.993928,0.992215,1.000000,0.928021,0.941234,0.966169
deu,0.915270,0.879693,0.919437,0.905110,0.862086,0.902572,0.905831,0.918109,0.945272,0.928021,1.000000,0.962969,0.973209
slv,0.937624,0.904923,0.928173,0.912491,0.887886,0.932944,0.930067,0.939274,0.945424,0.941234,0.962969,1.000000,0.963114
eng,0.953537,0.933575,0.955186,0.948477,0.910467,0.950901,0.955948,0.962759,0.973285,0.966169,0.973209,0.963114,1.000000
