,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.930579,0.932126,0.919976,0.895926,0.925803,0.951908,0.940989,0.956584,0.956655,0.938981,0.959446,0.956143,0.936450,0.863565,0.908380,0.876354,0.885906,0.886976,0.803818
lij,0.930579,1.000000,0.904733,0.905746,0.879249,0.924881,0.948454,0.925565,0.927780,0.922545,0.948477,0.937080,0.922332,0.947212,0.816724,0.865228,0.846148,0.857172,0.849402,0.773466
lmo,0.932126,0.904733,1.000000,0.920468,0.900760,0.928859,0.935326,0.931525,0.936830,0.954800,0.913735,0.917267,0.954463,0.916443,0.838912,0.869246,0.837001,0.847513,0.855831,0.807171
sc,0.919976,0.905746,0.920468,1.000000,0.920920,0.929166,0.941486,0.957942,0.938111,0.942732,0.946639,0.912775,0.949095,0.950459,0.840134,0.887285,0.824960,0.840558,0.836777,0.772294
scn,0.895926,0.879249,0.900760,0.920920,1.000000,0.881368,0.910830,0.895687,0.885455,0.897755,0.888303,0.889757,0.907818,0.892335,0.773797,0.820410,0.784528,0.808237,0.804831,0.721596
vec,0.925803,0.924881,0.928859,0.929166,0.881368,1.000000,0.964542,0.957552,0.939059,0.944746,0.944440,0.921714,0.939883,0.947974,0.822422,0.888388,0.851345,0.859933,0.835660,0.778992
ita,0.951908,0.948454,0.935326,0.941486,0.910830,0.964542,1.000000,0.967082,0.955214,0.959846,0.960251,0.947880,0.956060,0.961538,0.845180,0.906821,0.865426,0.874849,0.854121,0.787334
spa,0.940989,0.925565,0.931525,0.957942,0.895687,0.957552,0.967082,1.000000,0.959895,0.966687,0.966818,0.935380,0.962860,0.971345,0.853427,0.912483,0.859288,0.868460,0.850682,0.791662
fra,0.956584,0.927780,0.936830,0.938111,0.885455,0.939059,0.955214,0.959895,1.000000,0.969391,0.951295,0.951561,0.968861,0.951317,0.883873,0.921117,0.871720,0.879499,0.887822,0.823294
cat,0.956655,0.922545,0.954800,0.942732,0.897755,0.944746,0.959846,0.966687,0.969391,1.000000,0.952172,0.947186,0.978349,0.953379,0.870202,0.914350,0.867116,0.875668,0.875464,0.816603
por,0.938981,0.948477,0.913735,0.946639,0.888303,0.944440,0.960251,0.966818,0.951295,0.952172,1.000000,0.941980,0.952743,0.979137,0.845030,0.903846,0.864437,0.874778,0.859164,0.788629
ron,0.959446,0.937080,0.917267,0.912775,0.889757,0.921714,0.947880,0.935380,0.951561,0.947186,0.941980,1.000000,0.948102,0.938931,0.871826,0.903904,0.898167,0.908590,0.903201,0.827793
oci,0.956143,0.922332,0.954463,0.949095,0.907818,0.939883,0.956060,0.962860,0.968861,0.978349,0.952743,0.948102,1.000000,0.952543,0.869986,0.911494,0.869737,0.879279,0.880773,0.820774
glg,0.936450,0.947212,0.916443,0.950459,0.892335,0.947974,0.961538,0.971345,0.951317,0.953379,0.979137,0.938931,0.952543,1.000000,0.841175,0.900407,0.858725,0.869697,0.853957,0.785389
deu,0.863565,0.816724,0.838912,0.840134,0.773797,0.822422,0.845180,0.853427,0.883873,0.870202,0.845030,0.871826,0.869986,0.841175,1.000000,0.927825,0.897830,0.893705,0.901710,0.901186
eng,0.908380,0.865228,0.869246,0.887285,0.820410,0.888388,0.906821,0.912483,0.921117,0.914350,0.903846,0.903904,0.911494,0.900407,0.927825,1.000000,0.898508,0.898014,0.887134,0.853900
slv,0.876354,0.846148,0.837001,0.824960,0.784528,0.851345,0.865426,0.859288,0.871720,0.867116,0.864437,0.898167,0.869737,0.858725,0.897830,0.898508,1.000000,0.964927,0.919159,0.902725
hrv,0.885906,0.857172,0.847513,0.840558,0.808237,0.859933,0.874849,0.868460,0.879499,0.875668,0.874778,0.908590,0.879279,0.869697,0.893705,0.898014,0.964927,1.000000,0.922522,0.894637
sqi,0.886976,0.849402,0.855831,0.836777,0.804831,0.835660,0.854121,0.850682,0.887822,0.875464,0.859164,0.903201,0.880773,0.853957,0.901710,0.887134,0.919159,0.922522,1.000000,0.898481
hun,0.803818,0.773466,0.807171,0.772294,0.721596,0.778992,0.787334,0.791662,0.823294,0.816603,0.788629,0.827793,0.820774,0.785389,0.901186,0.853900,0.902725,0.894637,0.898481,1.000000
