dialect_code,dialect_name,rank,language_code,language_name,cosine_similarity
nap,Neapolitan,1,ca,Catalan,0.742574155330658
nap,Neapolitan,2,sl,Slovenian,0.7107846736907959
nap,Neapolitan,3,fr,French,0.6940230131149292
nap,Neapolitan,4,ar,Arabic,0.6851035356521606
nap,Neapolitan,5,es,Spanish,0.6850636005401611
nap,Neapolitan,6,de,German,0.6789027452468872
nap,Neapolitan,7,ita,Italian,0.6757144927978516
nap,Neapolitan,8,el,Greek,0.6685589551925659
nap,Neapolitan,9,en,English,0.6602755188941956
scn,Sicilian,1,ca,Catalan,0.9135305881500244
scn,Sicilian,2,sl,Slovenian,0.8894909620285034
scn,Sicilian,3,fr,French,0.8749579787254333
scn,Sicilian,4,es,Spanish,0.8732928037643433
scn,Sicilian,5,ita,Italian,0.8687669038772583
scn,Sicilian,6,de,German,0.8587430715560913
scn,Sicilian,7,en,English,0.8576443195343018
scn,Sicilian,8,ar,Arabic,0.8428188562393188
scn,Sicilian,9,el,Greek,0.7485491037368774
vec,Venetian,1,ca,Catalan,0.944166898727417
vec,Venetian,2,ita,Italian,0.9203588962554932
vec,Venetian,3,fr,French,0.9173365831375122
vec,Venetian,4,es,Spanish,0.9161401391029358
vec,Venetian,5,sl,Slovenian,0.9156180620193481
vec,Venetian,6,en,English,0.8986793756484985
vec,Venetian,7,de,German,0.8977794051170349
vec,Venetian,8,ar,Arabic,0.8669955730438232
vec,Venetian,9,el,Greek,0.7628519535064697
lmo,Lombard,1,ca,Catalan,0.9202457666397095
lmo,Lombard,2,sl,Slovenian,0.9015135765075684
lmo,Lombard,3,fr,French,0.8980642557144165
lmo,Lombard,4,ita,Italian,0.896149754524231
lmo,Lombard,5,es,Spanish,0.8862720727920532
lmo,Lombard,6,de,German,0.8828781843185425
lmo,Lombard,7,en,English,0.8808000087738037
lmo,Lombard,8,ar,Arabic,0.8299727439880371
lmo,Lombard,9,el,Greek,0.740027129650116
sc,Sardinian,1,ca,Catalan,0.9187633991241455
sc,Sardinian,2,fr,French,0.9064217805862427
sc,Sardinian,3,es,Spanish,0.9022262096405029
sc,Sardinian,4,ita,Italian,0.9016386270523071
sc,Sardinian,5,sl,Slovenian,0.9003465175628662
sc,Sardinian,6,en,English,0.8878251314163208
sc,Sardinian,7,de,German,0.8785321116447449
sc,Sardinian,8,ar,Arabic,0.8482642769813538
sc,Sardinian,9,el,Greek,0.7558485269546509
