,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.264924,0.098913,0.335923,0.107727,0.182606,0.260143,0.064110,0.246530,0.399263,0.263601,0.496257,0.402203,0.604552,0.558382,0.324859
siciliano,0.264924,0.000000,0.299388,0.283948,0.239765,0.295365,0.431804,0.160033,0.418240,0.507565,0.450256,0.673182,0.495232,0.556791,0.578392,0.347878
lombardo,0.098913,0.299388,0.000000,0.358437,0.185156,0.163015,0.175618,0.148725,0.240520,0.346045,0.174600,0.427278,0.310855,0.498533,0.524925,0.408620
sardo,0.335923,0.283948,0.358437,0.000000,0.374468,0.345218,0.362188,0.308240,0.204638,0.352482,0.259239,0.461606,0.350246,0.607656,0.497507,0.424336
ligure,0.107727,0.239765,0.185156,0.374468,0.000000,0.265231,0.296246,0.111192,0.265790,0.419344,0.309020,0.501732,0.373076,0.583833,0.592605,0.385486
friulano,0.182606,0.295365,0.163015,0.345218,0.265231,0.000000,0.356505,0.188176,0.345164,0.234221,0.267364,0.402836,0.296372,0.514421,0.587471,0.428432
ladino,0.260143,0.431804,0.175618,0.362188,0.296246,0.356505,0.000000,0.338373,0.267296,0.316962,0.220523,0.419222,0.317834,0.548441,0.482354,0.354622
italiano,0.064110,0.160033,0.148725,0.308240,0.111192,0.188176,0.338373,0.000000,0.291771,0.412477,0.317284,0.550116,0.410455,0.593724,0.548729,0.389897
spagnolo,0.246530,0.418240,0.240520,0.204638,0.265790,0.345164,0.267296,0.291771,0.000000,0.370040,0.105933,0.540203,0.377971,0.663703,0.475841,0.474153
francese,0.399263,0.507565,0.346045,0.352482,0.419344,0.234221,0.316962,0.412477,0.370040,0.000000,0.202269,0.401590,0.261970,0.596783,0.553631,0.549296
catalano,0.263601,0.450256,0.174600,0.259239,0.309020,0.267364,0.220523,0.317284,0.105933,0.202269,0.000000,0.524745,0.310032,0.675392,0.493490,0.549876
tedesco,0.496257,0.673182,0.427278,0.461606,0.501732,0.402836,0.419222,0.550116,0.540203,0.401590,0.524745,0.000000,0.313205,0.460744,0.647001,0.416222
inglese,0.402203,0.495232,0.310855,0.350246,0.373076,0.296372,0.317834,0.410455,0.377971,0.261970,0.310032,0.313205,0.000000,0.607815,0.748649,0.511737
greco,0.604552,0.556791,0.498533,0.607656,0.583833,0.514421,0.548441,0.593724,0.663703,0.596783,0.675392,0.460744,0.607815,0.000000,0.374329,0.639235
arabo,0.558382,0.578392,0.524925,0.497507,0.592605,0.587471,0.482354,0.548729,0.475841,0.553631,0.493490,0.647001,0.748649,0.374329,0.000000,0.571974
sloveno,0.324859,0.347878,0.408620,0.424336,0.385486,0.428432,0.354622,0.389897,0.474153,0.549296,0.549876,0.416222,0.511737,0.639235,0.571974,0.000000
