Silhouette report (fasttext (fasttext))
============================================================
  n_varieties           = 16
  linkage_method        = average
  silhouette (family)   = -0.1337
  silhouette (romance)  = +0.2590

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  catalano              romance              +0.4453
  spagnolo              romance              +0.1621
  sloveno               slavic               +0.0000
  arabo                 semitic              +0.0000
  inglese               english              +0.0000
  greco                 greek                +0.0000
  tedesco               germanic             +0.0000
  italiano              italian              +0.0000
  francese              romance              -0.0845
  ladino                italo_romance        -0.1450
  sardo                 italo_romance        -0.2075
  friulano              italo_romance        -0.2978
  lombardo              italo_romance        -0.3031
  siciliano             italo_romance        -0.4710
  ligure                italo_romance        -0.5457
  veneto                italo_romance        -0.6923
