# Global clustering metrics
metric,value,clusterer
silhouette_global,0.116270,family_labels
davies_bouldin,0.725344,family_labels
calinski_harabasz,1.616804,family_labels
cophenetic_correlation,0.900428,hierarchical
adjusted_rand_index,-0.086957,hierarchical_cut
normalized_mutual_info,0.524489,hierarchical_cut
v_measure,0.524489,hierarchical_cut
adjusted_rand_index,0.124294,kmeans
normalized_mutual_info,0.660004,kmeans
v_measure,0.660004,kmeans

# Per-variety silhouette scores
variety,family,silhouette
catalano,romance,0.470819
lombardo,italo_romance,0.352780
francese,romance,0.311354
ladino,italo_romance,0.296653
spagnolo,romance,0.230903
ligure,italo_romance,0.223172
friulano,italo_romance,0.135712
sardo,italo_romance,0.070355
inglese,english,0.000000
greco,greek,0.000000
italiano,italian,0.000000
tedesco,germanic,0.000000
arabo,semitic,0.000000
sloveno,slavic,0.000000
siciliano,italo_romance,-0.080777
veneto,italo_romance,-0.150648
