,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.993979,0.995015,0.992909,0.992726,0.994924,0.995409,0.994877,0.998190,0.995767,0.995074,0.996094,0.993011,0.993998,0.995196,0.995212,0.994982
lij,0.993979,1.000000,0.994616,0.992700,0.992623,0.995761,0.996957,0.995471,0.994491,0.995125,0.997795,0.994894,0.992875,0.993776,0.994376,0.994312,0.994940
lmo,0.995015,0.994616,1.000000,0.993601,0.994183,0.996241,0.995559,0.995928,0.995338,0.998307,0.994929,0.998626,0.993661,0.993766,0.994790,0.994823,0.996255
sc,0.992909,0.992700,0.993601,1.000000,0.993354,0.994658,0.995300,0.996305,0.993478,0.995733,0.995884,0.996054,0.991617,0.992932,0.993010,0.993931,0.994352
scn,0.992726,0.992623,0.994183,0.993354,1.000000,0.992221,0.995625,0.991830,0.991555,0.992960,0.992259,0.993643,0.989758,0.990624,0.991290,0.992316,0.992685
vec,0.994924,0.995761,0.996241,0.994658,0.992221,1.000000,0.998067,0.998738,0.996324,0.997745,0.997674,0.997540,0.993940,0.995912,0.997772,0.997552,0.997383
ita,0.995409,0.996957,0.995559,0.995300,0.995625,0.998067,1.000000,0.998313,0.996791,0.997396,0.998434,0.996741,0.994827,0.996535,0.996905,0.997009,0.997220
spa,0.994877,0.995471,0.995928,0.996305,0.991830,0.998738,0.998313,1.000000,0.997289,0.998755,0.998868,0.998208,0.995521,0.997063,0.997822,0.997754,0.998061
fra,0.998190,0.994491,0.995338,0.993478,0.991555,0.996324,0.996791,0.997289,1.000000,0.997432,0.996991,0.996999,0.996152,0.996976,0.996840,0.996624,0.996891
cat,0.995767,0.995125,0.998307,0.995733,0.992960,0.997745,0.997396,0.998755,0.997432,1.000000,0.997729,0.999513,0.995456,0.996402,0.997148,0.997077,0.998012
por,0.995074,0.997795,0.994929,0.995884,0.992259,0.997674,0.998434,0.998868,0.996991,0.997729,1.000000,0.997263,0.995166,0.996691,0.997382,0.997495,0.997611
oci,0.996094,0.994894,0.998626,0.996054,0.993643,0.997540,0.996741,0.998208,0.996999,0.999513,0.997263,1.000000,0.994618,0.995613,0.997327,0.997475,0.997943
deu,0.993011,0.992875,0.993661,0.991617,0.989758,0.993940,0.994827,0.995521,0.996152,0.995456,0.995166,0.994618,1.000000,0.996954,0.994678,0.994331,0.995921
eng,0.993998,0.993776,0.993766,0.992932,0.990624,0.995912,0.996535,0.997063,0.996976,0.996402,0.996691,0.995613,0.996954,1.000000,0.996502,0.996270,0.996882
slv,0.995196,0.994376,0.994790,0.993010,0.991290,0.997772,0.996905,0.997822,0.996840,0.997148,0.997382,0.997327,0.994678,0.996502,1.000000,0.999720,0.998181
hrv,0.995212,0.994312,0.994823,0.993931,0.992316,0.997552,0.997009,0.997754,0.996624,0.997077,0.997495,0.997475,0.994331,0.996270,0.999720,1.000000,0.998148
hun,0.994982,0.994940,0.996255,0.994352,0.992685,0.997383,0.997220,0.998061,0.996891,0.998012,0.997611,0.997943,0.995921,0.996882,0.998181,0.998148,1.000000
