,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.192681,1.118903,1.331625,1.360810,1.164731,1.267325,1.004049,0.871750,1.007165,0.861068,0.956164,0.857809
lij,1.192681,0.000000,1.162697,1.250238,1.324400,0.886690,0.949941,1.046176,1.022457,1.096865,1.033396,1.044235,1.031044
lmo,1.118903,1.162697,0.000000,1.280838,1.246428,0.831236,1.300002,0.983914,1.061869,0.808329,0.928283,1.030278,1.023883
sc,1.331625,1.250238,1.280838,0.000000,0.979697,1.129094,1.023991,0.928074,1.062505,0.984572,1.040006,1.100763,1.066913
scn,1.360810,1.324400,1.246428,0.979697,0.000000,1.528970,0.717225,1.024486,0.924022,0.923724,0.962737,1.074026,1.070972
vec,1.164731,0.886690,0.831236,1.129094,1.528970,0.000000,0.982795,0.890966,1.180528,1.184686,1.141417,0.873551,0.955484
ita,1.267325,0.949941,1.300002,1.023991,0.717225,0.982795,0.000000,1.017643,1.041697,1.179561,1.209517,1.059601,1.147415
spa,1.004049,1.046176,0.983914,0.928074,1.024486,0.890966,1.017643,0.000000,1.180405,0.993765,1.364748,1.213374,1.246859
fra,0.871750,1.022457,1.061869,1.062505,0.924022,1.180528,1.041697,1.180405,0.000000,1.069857,1.160868,1.232776,1.170169
cat,1.007165,1.096865,0.808329,0.984572,0.923724,1.184686,1.179561,0.993765,1.069857,0.000000,1.312681,1.334338,1.303618
deu,0.861068,1.033396,0.928283,1.040006,0.962737,1.141417,1.209517,1.364748,1.160868,1.312681,0.000000,1.089525,0.950656
slv,0.956164,1.044235,1.030278,1.100763,1.074026,0.873551,1.059601,1.213374,1.232776,1.334338,1.089525,0.000000,1.027160
eng,0.857809,1.031044,1.023883,1.066913,1.070972,0.955484,1.147415,1.246859,1.170169,1.303618,0.950656,1.027160,0.000000
