Silhouette report (multilingual_xlmr (with-iso, flores))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.1317
  silhouette (romance)  = +0.0196

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  cat                   romance              -0.0300
  fra                   romance              -0.0930
  spa                   romance              -0.0989
  sc                    italo_romance        -0.1696
  lmo                   italo_romance        -0.1771
  lij                   italo_romance        -0.1834
  vec                   italo_romance        -0.2117
  fur                   italo_romance        -0.3047
  scn                   italo_romance        -0.4432
