# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.131656,family_labels
davies_bouldin,1.787286,family_labels
calinski_harabasz,0.846232,family_labels
cophenetic_correlation,0.556576,hierarchical
adjusted_rand_index,-0.094276,hierarchical_cut
normalized_mutual_info,0.474255,hierarchical_cut
v_measure,0.474255,hierarchical_cut
adjusted_rand_index,-0.094276,kmeans
normalized_mutual_info,0.474255,kmeans
v_measure,0.474255,kmeans

# Per-variety silhouette scores
variety,family,silhouette
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
cat,romance,-0.029967
fra,romance,-0.092975
spa,romance,-0.098864
sc,italo_romance,-0.169624
lmo,italo_romance,-0.177069
lij,italo_romance,-0.183437
vec,italo_romance,-0.211699
fur,italo_romance,-0.304714
scn,italo_romance,-0.443174
