,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.072239,-0.178852,-0.336151,-0.299656,-0.278375,-0.385361,-0.178026,0.180927,-0.143161,0.059089,0.143790,-0.038911
lij,0.072239,1.000000,-0.208655,-0.382960,-0.518492,-0.019597,-0.076665,-0.040625,0.146087,-0.117414,0.008430,-0.052018,0.034134
lmo,-0.178852,-0.208655,1.000000,-0.047808,-0.075748,-0.001278,0.038631,-0.096001,-0.266637,0.159480,0.188069,-0.085958,-0.198937
sc,-0.336151,-0.382960,-0.047808,1.000000,0.162609,-0.068300,-0.087752,0.029335,-0.179273,0.008625,0.140617,-0.181271,0.122366
scn,-0.299656,-0.518492,-0.075748,0.162609,1.000000,-0.455402,-0.024993,-0.019545,-0.013727,0.029276,0.253793,0.015476,0.027372
vec,-0.278375,-0.019597,-0.001278,-0.068300,-0.455402,1.000000,0.260429,0.168898,-0.218319,-0.155268,-0.169144,0.013071,0.029797
ita,-0.385361,-0.076665,0.038631,-0.087752,-0.024993,0.260429,1.000000,0.036810,-0.171607,-0.094766,-0.167695,-0.058987,0.195458
spa,-0.178026,-0.040625,-0.096001,0.029335,-0.019545,0.168898,0.036810,1.000000,-0.090076,0.279216,-0.573923,-0.169970,-0.186478
fra,0.180927,0.146087,-0.266637,-0.179273,-0.013727,-0.218319,-0.171607,-0.090076,1.000000,0.152008,-0.257461,-0.390438,0.056993
cat,-0.143161,-0.117414,0.159480,0.008625,0.029276,-0.155268,-0.094766,0.279216,0.152008,1.000000,-0.425550,-0.389020,-0.100792
deu,0.059089,0.008430,0.188069,0.140617,0.253793,-0.169144,-0.167695,-0.573923,-0.257461,-0.425550,1.000000,-0.017666,-0.169276
slv,0.143790,-0.052018,-0.085958,-0.181271,0.015476,0.013071,-0.058987,-0.169970,-0.390438,-0.389020,-0.017666,1.000000,-0.351159
eng,-0.038911,0.034134,-0.198937,0.122366,0.027372,0.029797,0.195458,-0.186478,0.056993,-0.100792,-0.169276,-0.351159,1.000000
