variety,nn1,nn1_score,nn2,nn2_score,nn3,nn3_score
ar,el,0.50044364,ca,0.4441391,es,0.4364156
ca,es,0.7847474,lmo,0.7633458,vec,0.74054587
de,en,0.60540557,fr,0.5803413,ca,0.5534859
el,es,0.528019,ar,0.50044364,nap,0.48392448
en,fr,0.6428101,es,0.6379863,ita,0.61588013
es,ca,0.7847474,vec,0.74358916,ita,0.7190575
fr,ca,0.6948806,es,0.69392604,ita,0.65948564
ita,vec,0.82513946,nap,0.78730494,lmo,0.7839864
lmo,vec,0.8873424,ita,0.7839864,ca,0.7633458
nap,scn,0.80706847,ita,0.78730494,vec,0.7226292
sc,lmo,0.6935477,es,0.6842543,ita,0.67646986
scn,nap,0.80706847,ita,0.7589401,lmo,0.6699166
sl,vec,0.5691119,es,0.5399154,ca,0.5212821
vec,lmo,0.8873424,ita,0.82513946,es,0.74358916
