,nap,scn,vec,lmo,sc,ita,es,fr,ca,de,el,ar,sl,en
nap,0.000000,0.946243,0.947596,0.960943,0.972776,0.921809,0.982412,0.986196,0.988296,0.991510,0.998983,0.999613,0.992547,0.987466
scn,0.946243,0.000000,0.966850,0.970440,0.963868,0.946229,0.987194,0.988994,0.988382,0.992124,0.998852,0.999579,0.992294,0.985901
vec,0.947596,0.966850,0.000000,0.914696,0.963742,0.911251,0.957800,0.978818,0.971615,0.988022,0.998561,0.999497,0.989264,0.981032
lmo,0.960943,0.970440,0.914696,0.000000,0.971435,0.950569,0.974530,0.979334,0.960359,0.986132,0.998667,0.999475,0.990213,0.981218
sc,0.972776,0.963868,0.963742,0.971435,0.000000,0.963622,0.967585,0.983923,0.975323,0.990260,0.998672,0.999605,0.992894,0.983756
ita,0.921809,0.946229,0.911251,0.950569,0.963622,0.000000,0.965935,0.975013,0.982952,0.982318,0.998514,0.999471,0.989369,0.965755
es,0.982412,0.987194,0.957800,0.974530,0.967585,0.965935,0.000000,0.975073,0.944467,0.984699,0.998712,0.999512,0.991220,0.970735
fr,0.986196,0.988994,0.978818,0.979334,0.983923,0.975013,0.975073,0.000000,0.972903,0.978218,0.998431,0.999389,0.989720,0.962174
ca,0.988296,0.988382,0.971615,0.960359,0.975323,0.982952,0.944467,0.972903,0.000000,0.991341,0.998887,0.999596,0.993330,0.983792
de,0.991510,0.992124,0.988022,0.986132,0.990260,0.982318,0.984699,0.978218,0.991341,0.000000,0.998206,0.999396,0.988766,0.968115
el,0.998983,0.998852,0.998561,0.998667,0.998672,0.998514,0.998712,0.998431,0.998887,0.998206,0.000000,0.999806,0.998970,0.997397
ar,0.999613,0.999579,0.999497,0.999475,0.999605,0.999471,0.999512,0.999389,0.999596,0.999396,0.999806,0.000000,0.999632,0.998332
sl,0.992547,0.992294,0.989264,0.990213,0.992894,0.989369,0.991220,0.989720,0.993330,0.988766,0.998970,0.999632,0.000000,0.987010
en,0.987466,0.985901,0.981032,0.981218,0.983756,0.965755,0.970735,0.962174,0.983792,0.968115,0.997397,0.998332,0.987010,0.000000
