,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.525933,0.440934,0.579852,0.477883,0.558475,0.599870,0.312852,0.572157,0.644664,0.580223,0.719082,0.630391,0.971530,0.988443,0.704708
siciliano,0.525933,0.000000,0.494162,0.525332,0.565978,0.623693,0.649915,0.474230,0.671543,0.662862,0.611056,0.741922,0.659588,0.973160,0.989703,0.732775
lombardo,0.440934,0.494162,0.000000,0.522729,0.547319,0.543320,0.544264,0.493915,0.601773,0.604103,0.521069,0.672310,0.602391,0.971015,0.989234,0.713842
sardo,0.579852,0.525332,0.522729,0.000000,0.616987,0.633644,0.644605,0.567435,0.581838,0.679063,0.562797,0.716884,0.650290,0.971878,0.988980,0.743698
ligure,0.477883,0.565978,0.547319,0.616987,0.000000,0.606337,0.608696,0.404837,0.616299,0.615742,0.610982,0.702181,0.624345,0.969615,0.989468,0.730898
friulano,0.558475,0.623693,0.543320,0.633644,0.606337,0.000000,0.598678,0.551677,0.643160,0.628212,0.609367,0.715528,0.623523,0.972634,0.988243,0.720781
ladino,0.599870,0.649915,0.544264,0.644605,0.608696,0.598678,0.000000,0.593001,0.628133,0.646326,0.615860,0.696706,0.632338,0.971939,0.988061,0.719258
italiano,0.312852,0.474230,0.493915,0.567435,0.404837,0.551677,0.593001,0.000000,0.563123,0.613686,0.578752,0.694857,0.587732,0.971337,0.988305,0.693795
spagnolo,0.572157,0.671543,0.601773,0.581838,0.616299,0.643160,0.628133,0.563123,0.000000,0.616882,0.454327,0.713612,0.600679,0.967801,0.989484,0.710381
francese,0.644664,0.662862,0.604103,0.679063,0.615742,0.628212,0.646326,0.613686,0.616882,0.000000,0.536758,0.678284,0.538764,0.968551,0.988570,0.735315
catalano,0.580223,0.611056,0.521069,0.562797,0.610982,0.609367,0.615860,0.578752,0.454327,0.536758,0.000000,0.689842,0.558028,0.969967,0.987372,0.716386
tedesco,0.719082,0.741922,0.672310,0.716884,0.702181,0.715528,0.696706,0.694857,0.713612,0.678284,0.689842,0.000000,0.606542,0.971504,0.988545,0.712829
inglese,0.630391,0.659588,0.602391,0.650290,0.624345,0.623523,0.632338,0.587732,0.600679,0.538764,0.558028,0.606542,0.000000,0.965168,0.985961,0.690333
greco,0.971530,0.973160,0.971015,0.971878,0.969615,0.972634,0.971939,0.971337,0.967801,0.968551,0.969967,0.971504,0.965168,0.000000,0.995879,0.972422
arabo,0.988443,0.989703,0.989234,0.988980,0.989468,0.988243,0.988061,0.988305,0.989484,0.988570,0.987372,0.988545,0.985961,0.995879,0.000000,0.988256
sloveno,0.704708,0.732775,0.713842,0.743698,0.730898,0.720781,0.719258,0.693795,0.710381,0.735315,0.716386,0.712829,0.690333,0.972422,0.988256,0.000000
