dialect_code,dialect_name,rank,language_code,language_name,cosine_similarity
veneto,Venetian,1,greco,Greek,0.6995829343795776
veneto,Venetian,2,tedesco,German,0.6897522211074829
veneto,Venetian,3,francese,French,0.6836469769477844
veneto,Venetian,4,sloveno,Slovenian,0.6772435903549194
veneto,Venetian,5,arabo,Arabic,0.6770693063735962
veneto,Venetian,6,catalano,Catalan,0.6752277612686157
veneto,Venetian,7,italiano,Italian,0.6744481325149536
veneto,Venetian,8,spagnolo,Spanish,0.6740345358848572
veneto,Venetian,9,inglese,English,0.6459275484085083
siciliano,Sicilian,1,greco,Greek,0.6797832250595093
siciliano,Sicilian,2,tedesco,German,0.6740869879722595
siciliano,Sicilian,3,catalano,Catalan,0.6720534563064575
siciliano,Sicilian,4,sloveno,Slovenian,0.6710879802703857
siciliano,Sicilian,5,francese,French,0.6709251403808594
siciliano,Sicilian,6,arabo,Arabic,0.6662546396255493
siciliano,Sicilian,7,italiano,Italian,0.6578240394592285
siciliano,Sicilian,8,spagnolo,Spanish,0.6543768644332886
siciliano,Sicilian,9,inglese,English,0.629549503326416
lombardo,Lombard,1,greco,Greek,0.6622196435928345
lombardo,Lombard,2,tedesco,German,0.655436098575592
lombardo,Lombard,3,francese,French,0.6524941325187683
lombardo,Lombard,4,catalano,Catalan,0.6505635976791382
lombardo,Lombard,5,sloveno,Slovenian,0.6491843461990356
lombardo,Lombard,6,arabo,Arabic,0.6431318521499634
lombardo,Lombard,7,italiano,Italian,0.6400423645973206
lombardo,Lombard,8,spagnolo,Spanish,0.6342936754226685
lombardo,Lombard,9,inglese,English,0.5999813079833984
sardo,Sardinian,1,greco,Greek,0.6616703271865845
sardo,Sardinian,2,tedesco,German,0.6556390523910522
sardo,Sardinian,3,francese,French,0.6502532958984375
sardo,Sardinian,4,sloveno,Slovenian,0.6502374410629272
sardo,Sardinian,5,catalano,Catalan,0.6469368934631348
sardo,Sardinian,6,arabo,Arabic,0.645061194896698
sardo,Sardinian,7,italiano,Italian,0.6414202451705933
sardo,Sardinian,8,spagnolo,Spanish,0.640896737575531
sardo,Sardinian,9,inglese,English,0.6014066934585571
ligure,Ligurian,1,greco,Greek,0.7282639741897583
ligure,Ligurian,2,tedesco,German,0.7205014228820801
ligure,Ligurian,3,francese,French,0.7149088978767395
ligure,Ligurian,4,catalano,Catalan,0.7148976922035217
ligure,Ligurian,5,sloveno,Slovenian,0.7142068147659302
ligure,Ligurian,6,arabo,Arabic,0.7100126147270203
ligure,Ligurian,7,italiano,Italian,0.7063764929771423
ligure,Ligurian,8,spagnolo,Spanish,0.7019147872924805
ligure,Ligurian,9,inglese,English,0.6700160503387451
friulano,Friulian,1,greco,Greek,0.7160272002220154
friulano,Friulian,2,tedesco,German,0.7119357585906982
friulano,Friulian,3,catalano,Catalan,0.7097077369689941
friulano,Friulian,4,sloveno,Slovenian,0.7074170112609863
friulano,Friulian,5,francese,French,0.7060658931732178
friulano,Friulian,6,arabo,Arabic,0.700548529624939
friulano,Friulian,7,italiano,Italian,0.6973549127578735
friulano,Friulian,8,spagnolo,Spanish,0.6945053339004517
friulano,Friulian,9,inglese,English,0.6618504524230957
ladino,Ladin,1,greco,Greek,0.580355167388916
ladino,Ladin,2,tedesco,German,0.5750798583030701
ladino,Ladin,3,francese,French,0.5643300414085388
ladino,Ladin,4,catalano,Catalan,0.5610280632972717
ladino,Ladin,5,arabo,Arabic,0.5600230097770691
ladino,Ladin,6,sloveno,Slovenian,0.559964656829834
ladino,Ladin,7,italiano,Italian,0.5550513863563538
ladino,Ladin,8,spagnolo,Spanish,0.5478041172027588
ladino,Ladin,9,inglese,English,0.5157616138458252
