,nap,scn,vec,lmo,sc,ita,es,fr,ca,de,el,ar,sl,en
nap,0.000000,0.219441,0.230514,0.252073,0.244308,0.522157,0.471527,0.511037,0.323904,0.611955,0.616766,0.635233,0.410831,0.700656
scn,0.219441,0.000000,0.095826,0.082980,0.071816,0.358293,0.325963,0.328100,0.222398,0.447987,0.598188,0.482747,0.250126,0.522794
vec,0.230514,0.095826,0.000000,0.058348,0.101871,0.321810,0.301388,0.308091,0.154858,0.400828,0.523808,0.403039,0.193498,0.495498
lmo,0.252073,0.082980,0.058348,0.000000,0.084116,0.317785,0.313594,0.271254,0.178508,0.337927,0.526178,0.437242,0.182246,0.489915
sc,0.244308,0.071816,0.101871,0.084116,0.000000,0.342626,0.281269,0.289360,0.214315,0.418743,0.594711,0.465908,0.250739,0.509272
ita,0.522157,0.358293,0.321810,0.317785,0.342626,0.000000,0.091536,0.081954,0.310013,0.161751,0.513752,0.447432,0.178660,0.171059
es,0.471527,0.325963,0.301388,0.313594,0.281269,0.091536,0.000000,0.119233,0.275741,0.241201,0.545152,0.444869,0.230333,0.197855
fr,0.511037,0.328100,0.308091,0.271254,0.289360,0.081954,0.119233,0.000000,0.292780,0.118520,0.564530,0.483712,0.139444,0.186002
ca,0.323904,0.222398,0.154858,0.178508,0.214315,0.310013,0.275741,0.292780,0.000000,0.373566,0.392065,0.270944,0.146738,0.461018
de,0.611955,0.447987,0.400828,0.337927,0.418743,0.161751,0.241201,0.118520,0.373566,0.000000,0.515669,0.518975,0.155798,0.184266
el,0.616766,0.598188,0.523808,0.526178,0.594711,0.513752,0.545152,0.564530,0.392065,0.515669,0.000000,0.321002,0.412315,0.613950
ar,0.635233,0.482747,0.403039,0.437242,0.465908,0.447432,0.444869,0.483712,0.270944,0.518975,0.321002,0.000000,0.322049,0.562731
sl,0.410831,0.250126,0.193498,0.182246,0.250739,0.178660,0.230333,0.139444,0.146738,0.155798,0.412315,0.322049,0.000000,0.308182
en,0.700656,0.522794,0.495498,0.489915,0.509272,0.171059,0.197855,0.186002,0.461018,0.184266,0.613950,0.562731,0.308182,0.000000
