# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.191155,family_labels
davies_bouldin,1.176165,family_labels
calinski_harabasz,2.292543,family_labels
cophenetic_correlation,0.863909,hierarchical
adjusted_rand_index,0.000000,hierarchical_cut
normalized_mutual_info,0.546745,hierarchical_cut
v_measure,0.546745,hierarchical_cut
adjusted_rand_index,0.000000,kmeans
normalized_mutual_info,0.546745,kmeans
v_measure,0.546745,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fra,romance,0.528487
cat,romance,0.447214
deu,germanic,0.000000
ita,italian,0.000000
slv,slavic,0.000000
eng,english,0.000000
scn,italo_romance,-0.172414
spa,romance,-0.322922
sc,italo_romance,-0.349154
fur,italo_romance,-0.547092
lmo,italo_romance,-0.566057
lij,italo_romance,-0.668563
vec,italo_romance,-0.834511
