,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.163880,0.111442,0.243731,0.258145,0.141131,0.175916,0.246701,0.215303,0.223345,0.435827,0.418134,0.323158
lij,0.163880,0.000000,0.112930,0.208346,0.186724,0.077298,0.119105,0.188189,0.244338,0.207985,0.406900,0.371346,0.321241
lmo,0.111442,0.112930,0.000000,0.219437,0.218813,0.096091,0.179254,0.152643,0.201784,0.103265,0.423877,0.422124,0.331155
sc,0.243731,0.208346,0.219437,0.000000,0.256866,0.219017,0.244428,0.214993,0.280589,0.279897,0.436495,0.445095,0.356277
scn,0.258145,0.186724,0.218813,0.256866,0.000000,0.183195,0.175198,0.324191,0.350614,0.335736,0.472980,0.443296,0.399389
vec,0.141131,0.077298,0.096091,0.219017,0.183195,0.000000,0.099711,0.203125,0.268693,0.227691,0.434581,0.370411,0.356752
ita,0.175916,0.119105,0.179254,0.244428,0.175198,0.099711,0.000000,0.294143,0.330187,0.339133,0.482554,0.475107,0.385689
spa,0.246701,0.188189,0.152643,0.214993,0.324191,0.203125,0.294143,0.000000,0.266923,0.140830,0.500039,0.479845,0.399344
fra,0.215303,0.244338,0.201784,0.280589,0.350614,0.268693,0.330187,0.266923,0.000000,0.232976,0.448380,0.475045,0.342115
cat,0.223345,0.207985,0.103265,0.279897,0.335736,0.227691,0.339133,0.140830,0.232976,0.000000,0.545130,0.533822,0.431453
deu,0.435827,0.406900,0.423877,0.436495,0.472980,0.434581,0.482554,0.500039,0.448380,0.545130,0.000000,0.550166,0.416351
slv,0.418134,0.371346,0.422124,0.445095,0.443296,0.370411,0.475107,0.479845,0.475045,0.533822,0.550166,0.000000,0.494288
eng,0.323158,0.321241,0.331155,0.356277,0.399389,0.356752,0.385689,0.399344,0.342115,0.431453,0.416351,0.494288,0.000000
