# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.029672,family_labels
davies_bouldin,0.975582,family_labels
calinski_harabasz,2.447895,family_labels
cophenetic_correlation,0.923737,hierarchical
adjusted_rand_index,0.274419,hierarchical_cut
normalized_mutual_info,0.671868,hierarchical_cut
v_measure,0.671868,hierarchical_cut
adjusted_rand_index,0.731959,kmeans
normalized_mutual_info,0.872980,kmeans
v_measure,0.872980,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.186151
spa,romance,0.080147
sc,italo_romance,0.061157
fra,romance,0.039469
lmo,italo_romance,0.005384
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
fur,italo_romance,-0.042194
lij,italo_romance,-0.205099
scn,italo_romance,-0.206349
vec,italo_romance,-0.304402
