,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.836120,0.888558,0.756269,0.741855,0.858869,0.824084,0.753299,0.784697,0.776655,0.564173,0.581866,0.676842
lij,0.836120,1.000000,0.887070,0.791654,0.813276,0.922702,0.880895,0.811811,0.755662,0.792015,0.593100,0.628654,0.678759
lmo,0.888558,0.887070,1.000000,0.780563,0.781187,0.903909,0.820746,0.847357,0.798216,0.896735,0.576123,0.577876,0.668845
sc,0.756269,0.791654,0.780563,1.000000,0.743134,0.780983,0.755572,0.785007,0.719411,0.720103,0.563505,0.554905,0.643723
scn,0.741855,0.813276,0.781187,0.743134,1.000000,0.816805,0.824802,0.675809,0.649386,0.664264,0.527020,0.556704,0.600611
vec,0.858869,0.922702,0.903909,0.780983,0.816805,1.000000,0.900289,0.796875,0.731307,0.772309,0.565419,0.629589,0.643248
ita,0.824084,0.880895,0.820746,0.755572,0.824802,0.900289,1.000000,0.705857,0.669813,0.660867,0.517446,0.524893,0.614311
spa,0.753299,0.811811,0.847357,0.785007,0.675809,0.796875,0.705857,1.000000,0.733077,0.859170,0.499961,0.520155,0.600656
fra,0.784697,0.755662,0.798216,0.719411,0.649386,0.731307,0.669813,0.733077,1.000000,0.767024,0.551620,0.524955,0.657885
cat,0.776655,0.792015,0.896735,0.720103,0.664264,0.772309,0.660867,0.859170,0.767024,1.000000,0.454870,0.466178,0.568547
deu,0.564173,0.593100,0.576123,0.563505,0.527020,0.565419,0.517446,0.499961,0.551620,0.454870,1.000000,0.449834,0.583649
slv,0.581866,0.628654,0.577876,0.554905,0.556704,0.629589,0.524893,0.520155,0.524955,0.466178,0.449834,1.000000,0.505712
eng,0.676842,0.678759,0.668845,0.643723,0.600611,0.643248,0.614311,0.600656,0.657885,0.568547,0.583649,0.505712,1.000000
