method,experiment,variant,model_id,Spearman ρ (full matrix),Mantel p (full matrix),Spearman ρ (dialect ↔ external),Mantel p (dialect ↔ external)
word2vec,word2vec_wikiOLDI_native,flores/centroid,word2vec__word2vec_wikiOLDI_native__flores_centroid,0.3826,0.0142,-0.0119,0.9607
word2vec,word2vec_wikiOLDI_normalized,flores/centroid,word2vec__word2vec_wikiOLDI_normalized__flores_centroid,0.3722,0.0164,-0.1123,0.6194
tfidf,tfidf_wikiOLDI_native,flores/word,tfidf__tfidf_wikiOLDI_native__flores_word,0.3686,0.0131,0.1366,0.5145
tfidf,tfidf_wikiOLDI_normalized,flores/word,tfidf__tfidf_wikiOLDI_normalized__flores_word,0.3633,0.0128,0.1264,0.5521
tfidf,tfidf_wikiOLDI_normalized,flores/char,tfidf__tfidf_wikiOLDI_normalized__flores_char,0.3226,0.0358,-0.0870,0.6862
tfidf,tfidf_wikiOLDI_native,flores/char,tfidf__tfidf_wikiOLDI_native__flores_char,0.2725,0.0767,-0.1501,0.4926
fasttext,fasttext_wikiOLDI_native,flores/centroid,fasttext__fasttext_wikiOLDI_native__flores_centroid,0.2535,0.1020,-0.2203,0.3096
fasttext,fasttext_wikiOLDI_normalized,flores/centroid,fasttext__fasttext_wikiOLDI_normalized__flores_centroid,0.2441,0.1260,-0.2298,0.3032
canine,canine_zeroshot_native,flores/centroid,canine__canine_zeroshot_native__flores_centroid,0.1636,0.2673,-0.0266,0.8933
canine,canine_finetuned_wikiOLDI_dialects_native,flores/centroid,canine__canine_finetuned_wikiOLDI_dialects_native__flores_centroid,0.1398,0.3470,-0.2060,0.3102
multilingual_xlmr,xlmr_zeroshot_native,flores/centroid,multilingual_xlmr__xlmr_zeroshot_native__flores_centroid,0.0952,0.3374,-0.1662,0.2413
multilingual_xlmr,xlmr_finetuned_wikiOLDI_dialects_native,flores/centroid,multilingual_xlmr__xlmr_finetuned_wikiOLDI_dialects_native__flores_centroid,0.0120,0.9387,0.2857,0.1846
labse,labse_finetuned_oldi_dialects_native,flores/centroid,labse__labse_finetuned_oldi_dialects_native__flores_centroid,0.0062,0.9537,0.1390,0.3358
labse,labse_zeroshot_native,flores/centroid,labse__labse_zeroshot_native__flores_centroid,-0.1097,0.3934,-0.1060,0.5635
