method,experiment,variant,model_id,Spearman ρ (full matrix),CI 2.5% (full),CI 97.5% (full),Mantel p (full matrix),Spearman ρ (dialect ↔ external),CI 2.5% (d↔e),CI 97.5% (d↔e),Mantel p (dialect ↔ external),n_boot
tfidf,tfidf_wikiOLDI_native,flores/char,tfidf__tfidf_wikiOLDI_native__flores_char,0.9209,0.9184,0.9237,0.0001,0.8792,0.8716,0.8851,0.0001,1000
tfidf,tfidf_wikiOLDI_normalized,flores/char,tfidf__tfidf_wikiOLDI_normalized__flores_char,0.8888,0.8858,0.8933,0.0001,0.8220,0.8158,0.8300,0.0001,1000
fasttext,fasttext_wikiOLDI_normalized,flores/centroid,fasttext__fasttext_wikiOLDI_normalized__flores_centroid,0.8722,0.8701,0.8729,0.0001,0.8059,0.8018,0.8072,0.0001,1000
fasttext,fasttext_wikiOLDI_native,flores/centroid,fasttext__fasttext_wikiOLDI_native__flores_centroid,0.8696,0.8672,0.8716,0.0001,0.7792,0.7735,0.7844,0.0002,1000
word2vec,word2vec_wikiOLDI_normalized,flores/centroid,word2vec__word2vec_wikiOLDI_normalized__flores_centroid,0.8529,0.8518,0.8554,0.0001,0.7856,0.7810,0.7903,0.0004,1000
word2vec,word2vec_wikiOLDI_native,flores/centroid,word2vec__word2vec_wikiOLDI_native__flores_centroid,0.8443,0.8413,0.8462,0.0001,0.7114,0.7035,0.7177,0.0007,1000
tfidf,tfidf_wikiOLDI_native,flores/word,tfidf__tfidf_wikiOLDI_native__flores_word,0.8132,0.8097,0.8188,0.0001,0.7545,0.7441,0.7630,0.0002,1000
tfidf,tfidf_wikiOLDI_normalized,flores/word,tfidf__tfidf_wikiOLDI_normalized__flores_word,0.8050,0.8013,0.8104,0.0001,0.7702,0.7629,0.7784,0.0002,1000
canine,canine_finetuned_wikiOLDI_dialects_native,flores/centroid,canine__canine_finetuned_wikiOLDI_dialects_native__flores_centroid,0.7383,0.7344,0.7418,0.0001,0.8260,0.8211,0.8287,0.0001,1000
canine,canine_zeroshot_native,flores/centroid,canine__canine_zeroshot_native__flores_centroid,0.6863,0.6796,0.6922,0.0002,0.7512,0.7447,0.7633,0.0002,1000
multilingual_xlmr,xlmr_zeroshot_native,flores/centroid,multilingual_xlmr__xlmr_zeroshot_native__flores_centroid,0.2739,0.2688,0.2792,0.0076,0.3118,0.2978,0.3263,0.0346,1000
multilingual_xlmr,xlmr_finetuned_wikiOLDI_dialects_native,flores/centroid,multilingual_xlmr__xlmr_finetuned_wikiOLDI_dialects_native__flores_centroid,0.0891,0.0824,0.0944,0.6558,0.4267,0.4159,0.4386,0.0465,1000
labse,labse_finetuned_oldi_dialects_native,flores/centroid,labse__labse_finetuned_oldi_dialects_native__flores_centroid,-0.0121,-0.0348,0.0098,0.9124,0.2947,0.2369,0.3344,0.0467,1000
labse,labse_zeroshot_native,flores/centroid,labse__labse_zeroshot_native__flores_centroid,-0.0492,-0.0609,-0.0415,0.7570,0.2955,0.2717,0.3149,0.1003,1000
