,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.821300,0.885997,0.754503,0.742392,0.858736,0.813091,0.715514,0.753185,0.786028,0.703882,0.723319,0.761806,0.704078,0.571686,0.650967,0.597527,0.608547,0.637338,0.614404
lij,0.821300,1.000000,0.878278,0.784155,0.803091,0.908572,0.855617,0.789324,0.734471,0.771163,0.806647,0.725580,0.758177,0.822561,0.580865,0.637179,0.641407,0.668757,0.658658,0.645597
lmo,0.885997,0.878278,1.000000,0.789279,0.796387,0.903865,0.819972,0.807908,0.787228,0.861747,0.793031,0.767801,0.860446,0.786749,0.610230,0.670464,0.647039,0.658331,0.718603,0.627324
sc,0.754503,0.784155,0.789279,1.000000,0.753096,0.774143,0.749303,0.767710,0.701762,0.752122,0.760739,0.700451,0.750147,0.746608,0.559626,0.605204,0.605013,0.637681,0.596733,0.570682
scn,0.742392,0.803091,0.796387,0.753096,1.000000,0.813119,0.824561,0.665956,0.649311,0.702787,0.672088,0.693753,0.687934,0.659965,0.537009,0.580710,0.581878,0.593395,0.592285,0.530156
vec,0.858736,0.908572,0.903865,0.774143,0.813119,1.000000,0.903253,0.790829,0.716574,0.781172,0.799692,0.733368,0.764374,0.784518,0.576842,0.633273,0.659134,0.658716,0.647524,0.577580
ita,0.813091,0.855617,0.819972,0.749303,0.824561,0.903253,1.000000,0.700351,0.658511,0.696869,0.714456,0.675559,0.684376,0.688152,0.539097,0.597196,0.560112,0.561826,0.595902,0.518265
spa,0.715514,0.789324,0.807908,0.767710,0.665956,0.790829,0.700351,1.000000,0.721364,0.857720,0.904221,0.676448,0.853497,0.936946,0.488581,0.584398,0.544632,0.554159,0.544655,0.552684
fra,0.753185,0.734471,0.787228,0.701762,0.649311,0.716574,0.658511,0.721364,1.000000,0.785014,0.684499,0.660391,0.797748,0.686035,0.546892,0.636301,0.531732,0.541599,0.529060,0.522355
cat,0.786028,0.771163,0.861747,0.752122,0.702787,0.781172,0.696869,0.857720,0.785014,1.000000,0.808102,0.700395,0.918061,0.812100,0.534400,0.626647,0.551639,0.564330,0.583712,0.576305
por,0.703882,0.806647,0.793031,0.760739,0.672088,0.799692,0.714456,0.904221,0.684499,0.808102,1.000000,0.634004,0.765012,0.948362,0.512452,0.599465,0.566858,0.568808,0.584177,0.559015
ron,0.723319,0.725580,0.767801,0.700451,0.693753,0.733368,0.675559,0.676448,0.660391,0.700395,0.634004,1.000000,0.679509,0.646014,0.490986,0.598886,0.554095,0.556143,0.568985,0.523745
oci,0.761806,0.758177,0.860446,0.750147,0.687934,0.764374,0.684376,0.853497,0.797748,0.918061,0.765012,0.679509,1.000000,0.781867,0.499761,0.579470,0.519555,0.521203,0.550785,0.534472
glg,0.704078,0.822561,0.786749,0.746608,0.659965,0.784518,0.688152,0.936946,0.686035,0.812100,0.948362,0.646014,0.781867,1.000000,0.463609,0.570134,0.533607,0.551615,0.557272,0.538166
deu,0.571686,0.580865,0.610230,0.559626,0.537009,0.576842,0.539097,0.488581,0.546892,0.534400,0.512452,0.490986,0.499761,0.463609,1.000000,0.569959,0.466979,0.444264,0.470866,0.459482
eng,0.650967,0.637179,0.670464,0.605204,0.580710,0.633273,0.597196,0.584398,0.636301,0.626647,0.599465,0.598886,0.579470,0.570134,0.569959,1.000000,0.529151,0.520809,0.498205,0.507539
slv,0.597527,0.641407,0.647039,0.605013,0.581878,0.659134,0.560112,0.544632,0.531732,0.551639,0.566858,0.554095,0.519555,0.533607,0.466979,0.529151,1.000000,0.815327,0.532186,0.452205
hrv,0.608547,0.668757,0.658331,0.637681,0.593395,0.658716,0.561826,0.554159,0.541599,0.564330,0.568808,0.556143,0.521203,0.551615,0.444264,0.520809,0.815327,1.000000,0.562780,0.456026
sqi,0.637338,0.658658,0.718603,0.596733,0.592285,0.647524,0.595902,0.544655,0.529060,0.583712,0.584177,0.568985,0.550785,0.557272,0.470866,0.498205,0.532186,0.562780,1.000000,0.410729
hun,0.614404,0.645597,0.627324,0.570682,0.530156,0.577580,0.518265,0.552684,0.522355,0.576305,0.559015,0.523745,0.534472,0.538166,0.459482,0.507539,0.452205,0.456026,0.410729,1.000000
