,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,0.000000,0.178700,0.114003,0.245497,0.257608,0.141264,0.186909,0.284486,0.246815,0.213972,0.296118,0.276681,0.238194,0.295922,0.428314,0.349033,0.402473,0.391453,0.362662,0.385596
lij,0.178700,0.000000,0.121722,0.215845,0.196909,0.091428,0.144383,0.210676,0.265529,0.228837,0.193353,0.274420,0.241823,0.177439,0.419135,0.362821,0.358593,0.331243,0.341342,0.354403
lmo,0.114003,0.121722,0.000000,0.210721,0.203613,0.096135,0.180028,0.192092,0.212772,0.138253,0.206969,0.232199,0.139554,0.213251,0.389770,0.329536,0.352961,0.341669,0.281397,0.372676
sc,0.245497,0.215845,0.210721,0.000000,0.246904,0.225857,0.250697,0.232290,0.298238,0.247878,0.239261,0.299549,0.249853,0.253392,0.440374,0.394796,0.394987,0.362319,0.403267,0.429318
scn,0.257608,0.196909,0.203613,0.246904,0.000000,0.186881,0.175439,0.334044,0.350689,0.297213,0.327912,0.306247,0.312066,0.340035,0.462991,0.419290,0.418122,0.406605,0.407715,0.469844
vec,0.141264,0.091428,0.096135,0.225857,0.186881,0.000000,0.096747,0.209171,0.283426,0.218828,0.200308,0.266632,0.235626,0.215482,0.423158,0.366727,0.340866,0.341284,0.352476,0.422420
ita,0.186909,0.144383,0.180028,0.250697,0.175439,0.096747,0.000000,0.299649,0.341489,0.303131,0.285544,0.324441,0.315624,0.311848,0.460903,0.402804,0.439888,0.438174,0.404098,0.481735
spa,0.284486,0.210676,0.192092,0.232290,0.334044,0.209171,0.299649,0.000000,0.278636,0.142280,0.095779,0.323552,0.146503,0.063054,0.511419,0.415602,0.455368,0.445841,0.455345,0.447316
fra,0.246815,0.265529,0.212772,0.298238,0.350689,0.283426,0.341489,0.278636,0.000000,0.214986,0.315501,0.339609,0.202252,0.313965,0.453108,0.363699,0.468268,0.458401,0.470940,0.477645
cat,0.213972,0.228837,0.138253,0.247878,0.297213,0.218828,0.303131,0.142280,0.214986,0.000000,0.191898,0.299605,0.081939,0.187900,0.465600,0.373353,0.448361,0.435670,0.416288,0.423695
por,0.296118,0.193353,0.206969,0.239261,0.327912,0.200308,0.285544,0.095779,0.315501,0.191898,0.000000,0.365996,0.234988,0.051638,0.487548,0.400535,0.433142,0.431192,0.415823,0.440985
ron,0.276681,0.274420,0.232199,0.299549,0.306247,0.266632,0.324441,0.323552,0.339609,0.299605,0.365996,0.000000,0.320491,0.353986,0.509014,0.401114,0.445905,0.443857,0.431015,0.476255
oci,0.238194,0.241823,0.139554,0.249853,0.312066,0.235626,0.315624,0.146503,0.202252,0.081939,0.234988,0.320491,0.000000,0.218133,0.500239,0.420530,0.480445,0.478797,0.449215,0.465528
glg,0.295922,0.177439,0.213251,0.253392,0.340035,0.215482,0.311848,0.063054,0.313965,0.187900,0.051638,0.353986,0.218133,0.000000,0.536391,0.429866,0.466393,0.448385,0.442728,0.461834
deu,0.428314,0.419135,0.389770,0.440374,0.462991,0.423158,0.460903,0.511419,0.453108,0.465600,0.487548,0.509014,0.500239,0.536391,0.000000,0.430041,0.533021,0.555736,0.529134,0.540518
eng,0.349033,0.362821,0.329536,0.394796,0.419290,0.366727,0.402804,0.415602,0.363699,0.373353,0.400535,0.401114,0.420530,0.429866,0.430041,0.000000,0.470849,0.479191,0.501795,0.492461
slv,0.402473,0.358593,0.352961,0.394987,0.418122,0.340866,0.439888,0.455368,0.468268,0.448361,0.433142,0.445905,0.480445,0.466393,0.533021,0.470849,0.000000,0.184673,0.467814,0.547795
hrv,0.391453,0.331243,0.341669,0.362319,0.406605,0.341284,0.438174,0.445841,0.458401,0.435670,0.431192,0.443857,0.478797,0.448385,0.555736,0.479191,0.184673,0.000000,0.437220,0.543974
sqi,0.362662,0.341342,0.281397,0.403267,0.407715,0.352476,0.404098,0.455345,0.470940,0.416288,0.415823,0.431015,0.449215,0.442728,0.529134,0.501795,0.467814,0.437220,0.000000,0.589271
hun,0.385596,0.354403,0.372676,0.429318,0.469844,0.422420,0.481735,0.447316,0.477645,0.423695,0.440985,0.476255,0.465528,0.461834,0.540518,0.492461,0.547795,0.543974,0.589271,0.000000
