dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.777857
fur,cat,romance,0.745749
fur,fra,romance,0.745675
fur,spa,romance,0.715348
fur,eng,english,0.644261
fur,slv,slavic,0.544681
fur,deu,germanic,0.532713
lij,ita,italian,0.836019
lij,spa,romance,0.767501
lij,cat,romance,0.754824
lij,fra,romance,0.714418
lij,eng,english,0.642977
lij,slv,slavic,0.584325
lij,deu,germanic,0.556474
lmo,cat,romance,0.847417
lmo,spa,romance,0.794381
lmo,ita,italian,0.774548
lmo,fra,romance,0.748968
lmo,eng,english,0.631438
lmo,deu,germanic,0.539814
lmo,slv,slavic,0.536585
sc,spa,romance,0.753060
sc,ita,italian,0.719258
sc,cat,romance,0.696910
sc,fra,romance,0.686696
sc,eng,english,0.616042
sc,deu,germanic,0.533275
sc,slv,slavic,0.522204
scn,ita,italian,0.783550
scn,spa,romance,0.644004
scn,cat,romance,0.639016
scn,fra,romance,0.616980
scn,eng,english,0.572124
scn,slv,slavic,0.519915
scn,deu,germanic,0.496181
vec,ita,italian,0.858560
vec,spa,romance,0.752090
vec,cat,romance,0.735059
vec,fra,romance,0.688230
vec,eng,english,0.608333
vec,slv,slavic,0.581701
vec,deu,germanic,0.528125
