,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.786487,0.832419,0.715722,0.700141,0.803869,0.777857,0.715348,0.745675,0.745749,0.532713,0.544681,0.644261
lij,0.786487,1.000000,0.831562,0.748460,0.765929,0.868440,0.836019,0.767501,0.714418,0.754824,0.556474,0.584325,0.642977
lmo,0.832419,0.831562,1.000000,0.733219,0.733337,0.845631,0.774548,0.794381,0.748968,0.847417,0.539814,0.536585,0.631438
sc,0.715722,0.748460,0.733219,1.000000,0.705974,0.736107,0.719258,0.753060,0.686696,0.696910,0.533275,0.522204,0.616042
scn,0.700141,0.765929,0.733337,0.705974,1.000000,0.770240,0.783550,0.644004,0.616980,0.639016,0.496181,0.519915,0.572124
vec,0.803869,0.868440,0.845631,0.736107,0.770240,1.000000,0.858560,0.752090,0.688230,0.735059,0.528125,0.581701,0.608333
ita,0.777857,0.836019,0.774548,0.719258,0.783550,0.858560,1.000000,0.677702,0.639078,0.641064,0.490691,0.494296,0.587089
spa,0.715348,0.767501,0.794381,0.753060,0.644004,0.752090,0.677702,1.000000,0.704630,0.832699,0.477967,0.493035,0.580639
fra,0.745675,0.714418,0.748968,0.686696,0.616980,0.688230,0.639078,0.704630,1.000000,0.744225,0.528045,0.498708,0.638890
cat,0.745749,0.754824,0.847417,0.696910,0.639016,0.735059,0.641064,0.832699,0.744225,1.000000,0.440458,0.447166,0.556566
deu,0.532713,0.556474,0.539814,0.533275,0.496181,0.528125,0.490691,0.477967,0.528045,0.440458,1.000000,0.427957,0.562733
slv,0.544681,0.584325,0.536585,0.522204,0.519915,0.581701,0.494296,0.493035,0.498708,0.447166,0.427957,1.000000,0.482978
eng,0.644261,0.642977,0.631438,0.616042,0.572124,0.608333,0.587089,0.580639,0.638890,0.556566,0.562733,0.482978,1.000000
