dialect,reference,ref_family,mean_similarity
fur,fra,romance,0.949518
fur,oci,romance,0.945000
fur,cat,romance,0.944321
fur,ita,italian,0.937819
fur,por,romance,0.932337
fur,spa,romance,0.930754
fur,eng,english,0.899039
fur,hrv,slavic,0.872137
fur,slv,slavic,0.858126
fur,deu,germanic,0.852720
fur,hun,uralic,0.752737
lij,ita,italian,0.945476
lij,por,romance,0.936390
lij,cat,romance,0.915282
lij,fra,romance,0.914822
lij,spa,romance,0.914507
lij,oci,romance,0.913060
lij,eng,english,0.859889
lij,hrv,slavic,0.837376
lij,slv,slavic,0.822655
lij,deu,germanic,0.819081
lij,hun,uralic,0.732189
lmo,oci,romance,0.950420
lmo,cat,romance,0.950010
lmo,fra,romance,0.927834
lmo,ita,italian,0.926463
lmo,spa,romance,0.925551
lmo,por,romance,0.909864
lmo,eng,english,0.861065
lmo,deu,germanic,0.843030
lmo,hrv,slavic,0.825278
lmo,slv,slavic,0.810486
lmo,hun,uralic,0.772364
sc,spa,romance,0.952474
sc,oci,romance,0.947116
sc,por,romance,0.946304
sc,cat,romance,0.939712
sc,ita,italian,0.934875
sc,fra,romance,0.933486
sc,eng,english,0.889708
sc,deu,germanic,0.846568
sc,hrv,slavic,0.840315
sc,slv,slavic,0.817828
sc,hun,uralic,0.741346
scn,ita,italian,0.899307
scn,oci,romance,0.898353
scn,cat,romance,0.888776
scn,spa,romance,0.882319
scn,por,romance,0.878661
scn,fra,romance,0.873409
scn,eng,english,0.809148
scn,hrv,slavic,0.793128
scn,deu,germanic,0.772670
scn,slv,slavic,0.763971
scn,hun,uralic,0.683997
vec,ita,italian,0.962087
vec,spa,romance,0.954546
vec,por,romance,0.940717
vec,cat,romance,0.940287
vec,oci,romance,0.934577
vec,fra,romance,0.932995
vec,eng,english,0.883681
vec,hrv,slavic,0.853359
vec,slv,slavic,0.841017
vec,deu,germanic,0.828833
vec,hun,uralic,0.744966
