,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.474067,0.559066,0.420148,0.522117,0.441525,0.400130,0.687149,0.427842,0.355336,0.419777,0.280918,0.369609,0.028470,0.011557,0.295291
siciliano,0.474067,1.000000,0.505838,0.474667,0.434022,0.376307,0.350085,0.525770,0.328457,0.337138,0.388945,0.258078,0.340412,0.026840,0.010297,0.267225
lombardo,0.559066,0.505838,1.000000,0.477271,0.452681,0.456680,0.455736,0.506085,0.398227,0.395897,0.478931,0.327690,0.397609,0.028985,0.010767,0.286158
sardo,0.420148,0.474667,0.477271,1.000000,0.383013,0.366355,0.355395,0.432564,0.418162,0.320937,0.437203,0.283115,0.349710,0.028122,0.011020,0.256302
ligure,0.522117,0.434022,0.452681,0.383013,1.000000,0.393663,0.391304,0.595163,0.383700,0.384258,0.389018,0.297819,0.375655,0.030385,0.010532,0.269102
friulano,0.441525,0.376307,0.456680,0.366355,0.393663,1.000000,0.401322,0.448323,0.356840,0.371789,0.390633,0.284472,0.376477,0.027366,0.011757,0.279220
ladino,0.400130,0.350085,0.455736,0.355395,0.391304,0.401322,1.000000,0.407000,0.371867,0.353675,0.384140,0.303294,0.367662,0.028061,0.011939,0.280742
italiano,0.687149,0.525770,0.506085,0.432564,0.595163,0.448323,0.407000,1.000000,0.436877,0.386315,0.421248,0.305143,0.412269,0.028663,0.011695,0.306205
spagnolo,0.427842,0.328457,0.398227,0.418162,0.383700,0.356840,0.371867,0.436877,1.000000,0.383118,0.545673,0.286388,0.399321,0.032199,0.010516,0.289619
francese,0.355336,0.337138,0.395897,0.320937,0.384258,0.371789,0.353675,0.386315,0.383118,1.000000,0.463242,0.321716,0.461236,0.031449,0.011430,0.264685
catalano,0.419777,0.388945,0.478931,0.437203,0.389018,0.390633,0.384140,0.421248,0.545673,0.463242,1.000000,0.310158,0.441972,0.030033,0.012628,0.283614
tedesco,0.280918,0.258078,0.327690,0.283115,0.297819,0.284472,0.303294,0.305143,0.286388,0.321716,0.310158,1.000000,0.393458,0.028496,0.011455,0.287170
inglese,0.369609,0.340412,0.397609,0.349710,0.375655,0.376477,0.367662,0.412269,0.399321,0.461236,0.441972,0.393458,1.000000,0.034832,0.014039,0.309667
greco,0.028470,0.026840,0.028985,0.028122,0.030385,0.027366,0.028061,0.028663,0.032199,0.031449,0.030033,0.028496,0.034832,1.000000,0.004121,0.027578
arabo,0.011557,0.010297,0.010767,0.011020,0.010532,0.011757,0.011939,0.011695,0.010516,0.011430,0.012628,0.011455,0.014039,0.004121,1.000000,0.011744
sloveno,0.295291,0.267225,0.286158,0.256302,0.269102,0.279220,0.280742,0.306205,0.289619,0.264685,0.283614,0.287170,0.309667,0.027578,0.011744,1.000000
