,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.735076,0.901087,0.664077,0.892273,0.817394,0.739857,0.935890,0.753470,0.600737,0.736399,0.503743,0.597797,0.395448,0.441618,0.675141
siciliano,0.735076,1.000000,0.700612,0.716052,0.760235,0.704635,0.568196,0.839967,0.581760,0.492435,0.549744,0.326818,0.504768,0.443209,0.421608,0.652122
lombardo,0.901087,0.700612,1.000000,0.641563,0.814844,0.836985,0.824382,0.851275,0.759480,0.653955,0.825400,0.572722,0.689145,0.501467,0.475075,0.591380
sardo,0.664077,0.716052,0.641563,1.000000,0.625532,0.654782,0.637812,0.691760,0.795362,0.647518,0.740761,0.538394,0.649754,0.392344,0.502493,0.575664
ligure,0.892273,0.760235,0.814844,0.625532,1.000000,0.734769,0.703754,0.888808,0.734210,0.580656,0.690980,0.498268,0.626924,0.416167,0.407395,0.614514
friulano,0.817394,0.704635,0.836985,0.654782,0.734769,1.000000,0.643495,0.811824,0.654836,0.765779,0.732636,0.597164,0.703628,0.485579,0.412529,0.571568
ladino,0.739857,0.568196,0.824382,0.637812,0.703754,0.643495,1.000000,0.661627,0.732704,0.683038,0.779477,0.580778,0.682166,0.451559,0.517646,0.645378
italiano,0.935890,0.839967,0.851275,0.691760,0.888808,0.811824,0.661627,1.000000,0.708229,0.587523,0.682716,0.449884,0.589545,0.406276,0.451271,0.610103
spagnolo,0.753470,0.581760,0.759480,0.795362,0.734210,0.654836,0.732704,0.708229,1.000000,0.629960,0.894067,0.459797,0.622029,0.336297,0.524159,0.525847
francese,0.600737,0.492435,0.653955,0.647518,0.580656,0.765779,0.683038,0.587523,0.629960,1.000000,0.797731,0.598410,0.738030,0.403217,0.446369,0.450704
catalano,0.736399,0.549744,0.825400,0.740761,0.690980,0.732636,0.779477,0.682716,0.894067,0.797731,1.000000,0.475255,0.689968,0.324608,0.506510,0.450124
tedesco,0.503743,0.326818,0.572722,0.538394,0.498268,0.597164,0.580778,0.449884,0.459797,0.598410,0.475255,1.000000,0.686795,0.539256,0.352999,0.583778
inglese,0.597797,0.504768,0.689145,0.649754,0.626924,0.703628,0.682166,0.589545,0.622029,0.738030,0.689968,0.686795,1.000000,0.392185,0.251351,0.488263
greco,0.395448,0.443209,0.501467,0.392344,0.416167,0.485579,0.451559,0.406276,0.336297,0.403217,0.324608,0.539256,0.392185,1.000000,0.625671,0.360765
arabo,0.441618,0.421608,0.475075,0.502493,0.407395,0.412529,0.517646,0.451271,0.524159,0.446369,0.506510,0.352999,0.251351,0.625671,1.000000,0.428026
sloveno,0.675141,0.652122,0.591380,0.575664,0.614514,0.571568,0.645378,0.610103,0.525847,0.450704,0.450124,0.583778,0.488263,0.360765,0.428026,1.000000
