,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.733826,0.688798,0.748707,0.720867,0.738744,0.775680,0.543458,0.748144,0.817948,0.764023,0.880104,0.801593,0.989351,0.997885,0.880915
siciliano,0.733826,0.000000,0.725317,0.692931,0.761369,0.807193,0.827388,0.633906,0.842930,0.847553,0.802696,0.902213,0.837959,0.991211,0.998282,0.903752
lombardo,0.688798,0.725317,0.000000,0.750260,0.782330,0.760724,0.774619,0.706657,0.809620,0.822610,0.769424,0.884220,0.822088,0.990928,0.998212,0.904038
sardo,0.748707,0.692931,0.750260,0.000000,0.787209,0.798693,0.802818,0.716713,0.748653,0.840729,0.740817,0.877892,0.819040,0.990197,0.998091,0.898701
ligure,0.720867,0.761369,0.782330,0.787209,0.000000,0.778113,0.801428,0.623880,0.811052,0.820806,0.798536,0.882601,0.810786,0.990242,0.998177,0.907273
friulano,0.738744,0.807193,0.760724,0.798693,0.778113,0.000000,0.765859,0.704029,0.808974,0.818831,0.784428,0.878300,0.801161,0.990009,0.997956,0.893010
ladino,0.775680,0.827388,0.774619,0.802818,0.801428,0.765859,0.000000,0.730649,0.801169,0.815904,0.781283,0.868608,0.806111,0.990037,0.997942,0.893170
italiano,0.543458,0.633906,0.706657,0.716713,0.623880,0.704029,0.730649,0.000000,0.717813,0.769593,0.724500,0.850775,0.744433,0.988093,0.997541,0.860490
spagnolo,0.748144,0.842930,0.809620,0.748653,0.811052,0.808974,0.801169,0.717813,0.000000,0.806294,0.644224,0.879229,0.783675,0.989592,0.998147,0.880898
francese,0.817948,0.847553,0.822610,0.840729,0.820806,0.818831,0.815904,0.769593,0.806294,0.000000,0.743548,0.858858,0.736515,0.989966,0.998191,0.917241
catalano,0.764023,0.802696,0.769424,0.740817,0.798536,0.784428,0.781283,0.724500,0.644224,0.743548,0.000000,0.867984,0.750282,0.989760,0.997832,0.889974
tedesco,0.880104,0.902213,0.884220,0.877892,0.882601,0.878300,0.868608,0.850775,0.879229,0.858858,0.867984,0.000000,0.797493,0.991752,0.998429,0.896079
inglese,0.801593,0.837959,0.822088,0.819040,0.810786,0.801161,0.806111,0.744433,0.783675,0.736515,0.750282,0.797493,0.000000,0.986351,0.997411,0.885379
greco,0.989351,0.991211,0.990928,0.990197,0.990242,0.990009,0.990037,0.988093,0.989592,0.989966,0.989760,0.991752,0.986351,0.000000,0.999442,0.993281
arabo,0.997885,0.998282,0.998212,0.998091,0.998177,0.997956,0.997942,0.997541,0.998147,0.998191,0.997832,0.998429,0.997411,0.999442,0.000000,0.998555
sloveno,0.880915,0.903752,0.904038,0.898701,0.907273,0.893010,0.893170,0.860490,0.880898,0.917241,0.889974,0.896079,0.885379,0.993281,0.998555,0.000000
