,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.393779,0.484884,0.325014,0.312015,0.483282,0.494034,0.337404,0.378314,0.389852,0.313582,0.399397,0.200208,0.259266,0.209556,0.205002,0.159388
lij,0.393779,1.000000,0.462911,0.330159,0.367756,0.567067,0.548090,0.404080,0.321136,0.380493,0.417709,0.397619,0.185128,0.230663,0.216595,0.214148,0.164979
lmo,0.484884,0.462911,1.000000,0.387334,0.373771,0.570632,0.516370,0.436880,0.361747,0.501215,0.383862,0.483443,0.240324,0.256437,0.220321,0.220697,0.189535
sc,0.325014,0.330159,0.387334,1.000000,0.323455,0.370314,0.386486,0.420556,0.295860,0.352831,0.406855,0.389803,0.180713,0.213492,0.165319,0.187639,0.157095
scn,0.312015,0.367756,0.373771,0.323455,1.000000,0.383305,0.453413,0.229074,0.186520,0.246628,0.235878,0.255583,0.112011,0.140917,0.190579,0.211957,0.114887
vec,0.483282,0.567067,0.570632,0.370314,0.383305,1.000000,0.635468,0.487266,0.341985,0.454847,0.455648,0.439712,0.197803,0.250883,0.282268,0.264715,0.183047
ita,0.494034,0.548090,0.516370,0.386486,0.453413,0.635468,1.000000,0.435166,0.345433,0.427734,0.399554,0.413369,0.204184,0.257975,0.256198,0.245849,0.186157
spa,0.337404,0.404080,0.436880,0.420556,0.229074,0.487266,0.435166,1.000000,0.406745,0.613666,0.635869,0.656931,0.196654,0.235741,0.208561,0.208568,0.201908
fra,0.378314,0.321136,0.361747,0.295860,0.186520,0.341985,0.345433,0.406745,1.000000,0.519732,0.352700,0.487686,0.225343,0.301267,0.159250,0.151429,0.170980
cat,0.389852,0.380493,0.501215,0.352831,0.246628,0.454847,0.427734,0.613666,0.519732,1.000000,0.496408,0.712257,0.208140,0.274194,0.193811,0.191729,0.224179
por,0.313582,0.417709,0.383862,0.406855,0.235878,0.455648,0.399554,0.635869,0.352700,0.496408,1.000000,0.520482,0.173879,0.229688,0.215415,0.220719,0.188293
oci,0.399397,0.397619,0.483443,0.389803,0.255583,0.439712,0.413369,0.656931,0.487686,0.712257,0.520482,1.000000,0.205082,0.267419,0.189668,0.188057,0.204353
deu,0.200208,0.185128,0.240324,0.180713,0.112011,0.197803,0.204184,0.196654,0.225343,0.208140,0.173879,0.205082,1.000000,0.227893,0.126648,0.120778,0.159767
eng,0.259266,0.230663,0.256437,0.213492,0.140917,0.250883,0.257975,0.235741,0.301267,0.274194,0.229688,0.267419,0.227893,1.000000,0.145215,0.134780,0.151530
slv,0.209556,0.216595,0.220321,0.165319,0.190579,0.282268,0.256198,0.208561,0.159250,0.193811,0.215415,0.189668,0.126648,0.145215,1.000000,0.684958,0.187563
hrv,0.205002,0.214148,0.220697,0.187639,0.211957,0.264715,0.245849,0.208568,0.151429,0.191729,0.220719,0.188057,0.120778,0.134780,0.684958,1.000000,0.168638
hun,0.159388,0.164979,0.189535,0.157095,0.114887,0.183047,0.186157,0.201908,0.170980,0.224179,0.188293,0.204353,0.159767,0.151530,0.187563,0.168638,1.000000
