,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.999474,0.999617,0.999597,0.999756,0.999670,0.999450,0.996690,0.996559,0.995865,0.994046,0.995033,0.997034,0.995876,0.996017,0.995905
siciliano,0.999474,1.000000,0.999497,0.999280,0.999627,0.999620,0.999085,0.996321,0.995480,0.995023,0.993287,0.994094,0.995981,0.995039,0.995140,0.994992
lombardo,0.999617,0.999497,1.000000,0.999620,0.999758,0.999679,0.999574,0.996054,0.996246,0.995714,0.994470,0.994588,0.996559,0.995412,0.995391,0.995349
sardo,0.999597,0.999280,0.999620,1.000000,0.999639,0.999634,0.999585,0.995773,0.996378,0.995567,0.993779,0.994522,0.996676,0.995430,0.995384,0.995459
ligure,0.999756,0.999627,0.999758,0.999639,1.000000,0.999811,0.999559,0.996514,0.996371,0.995960,0.993999,0.994827,0.996755,0.995679,0.995724,0.995623
friulano,0.999670,0.999620,0.999679,0.999634,0.999811,1.000000,0.999607,0.996037,0.995880,0.995588,0.993406,0.994338,0.996391,0.995161,0.995334,0.995265
ladino,0.999450,0.999085,0.999574,0.999585,0.999559,0.999607,1.000000,0.994902,0.995645,0.994957,0.992718,0.993781,0.996153,0.994761,0.994856,0.994815
italiano,0.996690,0.996321,0.996054,0.995773,0.996514,0.996037,0.994902,1.000000,0.998173,0.998074,0.996521,0.997477,0.998018,0.997948,0.997394,0.997399
spagnolo,0.996559,0.995480,0.996246,0.996378,0.996371,0.995880,0.995645,0.998173,1.000000,0.998151,0.996839,0.997637,0.998507,0.998094,0.997720,0.997478
francese,0.995865,0.995023,0.995714,0.995567,0.995960,0.995588,0.994957,0.998074,0.998151,1.000000,0.996804,0.997766,0.998148,0.997829,0.997126,0.997056
catalano,0.994046,0.993287,0.994470,0.993779,0.993999,0.993406,0.992718,0.996521,0.996839,0.996804,1.000000,0.995931,0.996017,0.996044,0.995535,0.994957
tedesco,0.995033,0.994094,0.994588,0.994522,0.994827,0.994338,0.993781,0.997477,0.997637,0.997766,0.995931,1.000000,0.998231,0.998015,0.997597,0.997043
inglese,0.997034,0.995981,0.996559,0.996676,0.996755,0.996391,0.996153,0.998018,0.998507,0.998148,0.996017,0.998231,1.000000,0.998410,0.997834,0.997893
greco,0.995876,0.995039,0.995412,0.995430,0.995679,0.995161,0.994761,0.997948,0.998094,0.997829,0.996044,0.998015,0.998410,1.000000,0.998286,0.997673
arabo,0.996017,0.995140,0.995391,0.995384,0.995724,0.995334,0.994856,0.997394,0.997720,0.997126,0.995535,0.997597,0.997834,0.998286,1.000000,0.997177
sloveno,0.995905,0.994992,0.995349,0.995459,0.995623,0.995265,0.994815,0.997399,0.997478,0.997056,0.994957,0.997043,0.997893,0.997673,0.997177,1.000000
